probe	pvalue	adj.pvalue	symbol	entrez	group
A_23_P14083	0	0.000412	AMIGO2	347902	GSE74341_EOvC
A_21_P0011811	0	0.001005	ANKRD36BP2	645784	GSE74341_EOvC
A_33_P3407299	0	0.000608	ANP32E	81611	GSE74341_EOvC
A_33_P3289005	0	0.000891	AP1S3	130340	GSE74341_EOvC
A_33_P3276615	0	0.00037	APOL4	80832	GSE74341_EOvC
A_23_P143016	0	0.000838	ARID5A	10865	GSE74341_EOvC
A_33_P3369969	0	0.00073	ATXN1L	342371	GSE74341_EOvC
A_23_P252556	0	0.00083	BAI3	NA	GSE74341_EOvC
A_33_P3217123	0	0.000147	BCL2L12	83596	GSE74341_EOvC
A_23_P139500	0	6.40E-05	BHLHE41	79365	GSE74341_EOvC
A_23_P419714	0	0.00063	BTBD11	121551	GSE74341_EOvC
A_32_P191441	0	0.000827	C10orf90	118611	GSE74341_EOvC
A_23_P49279	0	0.000682	C16orf87	388272	GSE74341_EOvC
A_32_P516818	0	0.000986	C3orf55	NA	GSE74341_EOvC
A_24_P341222	0	6.00E-04	C4orf52	NA	GSE74341_EOvC
A_33_P3218148	0	0.001016	C5orf42	65250	GSE74341_EOvC
A_33_P3215023	0	0.000682	C6orf89	221477	GSE74341_EOvC
A_33_P3308137	0	0.000995	C7orf46	NA	GSE74341_EOvC
A_33_P3248638	0	0.000412	C9orf47	286223	GSE74341_EOvC
A_33_P3379061	0	0.000366	C9orf47	286223	GSE74341_EOvC
A_24_P313186	0	0.000297	CALM1	801	GSE74341_EOvC
A_23_P152406	0	0.000789	CAPNS2	84290	GSE74341_EOvC
A_23_P87532	0	0.000351	CAPRIN2	65981	GSE74341_EOvC
A_23_P86975	0	0.000147	CARD18	59082	GSE74341_EOvC
A_19_P00319201	0	0.001016	CCDC149	91050	GSE74341_EOvC
A_23_P343398	0	0.000398	CCR7	1236	GSE74341_EOvC
A_33_P3226995	0	0.000884	CD7	924	GSE74341_EOvC
A_23_P169470	0	0.000104	CDK9	1025	GSE74341_EOvC
A_23_P31124	0	0.000831	COL21A1	81578	GSE74341_EOvC
A_23_P44617	0	0.000259	COPG	NA	GSE74341_EOvC
A_23_P6066	0	0.000398	CPXM1	56265	GSE74341_EOvC
A_23_P157795	0	0.000173	CTNNAL1	8727	GSE74341_EOvC
A_33_P3252605	0	0.000581	CYP2U1	113612	GSE74341_EOvC
A_23_P108280	0	0.000529	CYP4F12	66002	GSE74341_EOvC
A_23_P22660	0	0.000402	CYSLTR1	10800	GSE74341_EOvC
A_23_P64873	0	0.000634	DCN	1634	GSE74341_EOvC
A_23_P363647	0	0.000276	DDX26B	NA	GSE74341_EOvC
A_33_P3290800	0	0.000398	DDX26B	NA	GSE74341_EOvC
A_32_P229618	0	5.70E-05	DLG2	1740	GSE74341_EOvC
A_23_P140698	0	0.000979	DNAJC17	55192	GSE74341_EOvC
A_33_P3462960	0	0.000737	DNAJC3	5611	GSE74341_EOvC
A_21_P0008202	0	0.000789	DNAJC3-AS1	100289274	GSE74341_EOvC
A_24_P627306	0	0.001011	EDEM2	55741	GSE74341_EOvC
A_23_P83328	0	0.000305	ENG	2022	GSE74341_EOvC
A_33_P3411338	0	0.000529	ENPEP	2028	GSE74341_EOvC
A_23_P34537	0	0.000544	EPHX1	2052	GSE74341_EOvC
A_33_P3292596	0	0.000579	ERBB2	2064	GSE74341_EOvC
A_23_P52219	0	0.000838	ERLIN1	10613	GSE74341_EOvC
A_23_P19590	0	0.000524	EZR	7430	GSE74341_EOvC
