probe	id	pvalue	symbol	group
A_23_P206501	938	0.02521	CLEC18B	GSE4707_EOvsC
A_23_P253046	944	0.00089	UGP2	GSE4707_EOvsC
A_23_P148969	957	0.02507	LRRC40	GSE4707_EOvsC
A_23_P329271	965	0.00148	MC1R	GSE4707_EOvsC
A_24_P191013	982	0.00471	CYP4A11	GSE4707_EOvsC
A_24_P916816	989	0.00195	SP100	GSE4707_EOvsC
A_23_P77381	992	0.00155	DOK4	GSE4707_EOvsC
A_23_P121545	999	0.01536	GPM6A	GSE4707_EOvsC
A_23_P125475	1000	0.00129	GABRQ	GSE4707_EOvsC
A_23_P200772	1006	0.00443	ZNF644	GSE4707_EOvsC
A_24_P161382	1011	0.00523	NA	GSE4707_EOvsC
A_23_P137689	1013	0.00076	OLFML2B	GSE4707_EOvsC
A_24_P75994	1022	0.01285	NA	GSE4707_EOvsC
A_23_P103011	1031	0.00587	RAB36	GSE4707_EOvsC
A_24_P467868	1038	0.02593	CCAT1	GSE4707_EOvsC
A_24_P354800	1042	0.00792	HLA-DOA	GSE4707_EOvsC
A_32_P4172	1044	0.00339	NA	GSE4707_EOvsC
A_24_P812543	1066	0.00634	NA	GSE4707_EOvsC
A_32_P17615	1068	0.00418	NA	GSE4707_EOvsC
A_24_P920418	1070	0.00463	STXBP3	GSE4707_EOvsC
A_24_P915225	1074	1e-04	CYSLTR1	GSE4707_EOvsC
A_23_P406438	1080	0.02985	SRPK2	GSE4707_EOvsC
A_23_P307274	1098	0.04911	OR2H2	GSE4707_EOvsC
A_23_P6362	1099	2e-04	DERL3	GSE4707_EOvsC
A_32_P86905	1143	0.01764	FGF7P3	GSE4707_EOvsC
A_23_P156880	1162	0.00237	ENPP1	GSE4707_EOvsC
A_32_P150836	1164	0.00076	NA	GSE4707_EOvsC
A_24_P195125	1192	0.0096	SPDYE7P	GSE4707_EOvsC
A_23_P409663	1195	0.00999	NA	GSE4707_EOvsC
A_24_P238616	1196	0.00911	NA	GSE4707_EOvsC
A_32_P528311	1201	0.01074	RTN4RL2	GSE4707_EOvsC
A_23_P42257	1203	0.03675	IER3	GSE4707_EOvsC
A_23_P8797	1206	0.00867	PMS2P5	GSE4707_EOvsC
A_23_P155907	1212	0.02383	METAP1	GSE4707_EOvsC
A_24_P919640	1215	0.00951	CD44	GSE4707_EOvsC
A_24_P933037	1228	0.04868	NA	GSE4707_EOvsC
A_23_P132889	1233	0.02064	CRMP1	GSE4707_EOvsC
A_32_P187875	1250	0.01046	NA	GSE4707_EOvsC
A_24_P592560	1251	0.02794	NA	GSE4707_EOvsC
A_32_P68350	1262	0.00026	NA	GSE4707_EOvsC
A_32_P221569	1263	0.01813	NA	GSE4707_EOvsC
A_23_P106174	1271	0.04923	PSEN1	GSE4707_EOvsC
A_23_P96542	1301	0.03587	VMA21	GSE4707_EOvsC
A_23_P500244	1307	0.00723	TRPV1	GSE4707_EOvsC
A_24_P361480	1314	0.01665	TANC2	GSE4707_EOvsC
A_24_P610945	1318	0.00021	NA	GSE4707_EOvsC
A_32_P109933	1335	0.00038	NA	GSE4707_EOvsC
A_23_P403955	1345	0.00803	TARDBP	GSE4707_EOvsC
A_32_P165113	1358	0.0213	WDR92	GSE4707_EOvsC
A_32_P164494	1377	0.00191	NA	GSE4707_EOvsC
A_32_P128209	1383	0.04334	NA	GSE4707_EOvsC
A_23_P170273	1401	0.03261	SEC31A	GSE4707_EOvsC
A_23_P57036	1406	0.01773	CD40	GSE4707_EOvsC
A_23_P213615	1418	0.02113	ADAMTS2	GSE4707_EOvsC
A_24_P209710	1423	0.02706	FAM189A2	GSE4707_EOvsC
A_32_P174156	1424	0.04772	NA	GSE4707_EOvsC
A_24_P941279	1428	0.00843	NA	GSE4707_EOvsC
A_32_P40327	1429	0.02014	NA	GSE4707_EOvsC
A_23_P502882	1430	0.00381	CBFA2T2	GSE4707_EOvsC
A_32_P222993	1432	0.0299	NA	GSE4707_EOvsC
A_24_P737553	1436	0.00673	NA	GSE4707_EOvsC
A_23_P8716	1437	0.04968	OR2F1	GSE4707_EOvsC
A_24_P59297	1441	0.0144	HSPC081	GSE4707_EOvsC
A_24_P664468	1442	0.00905	NA	GSE4707_EOvsC
A_32_P126846	1445	0.02209	NEIL2	GSE4707_EOvsC
A_32_P159574	1447	0.03967	LOC101927204	GSE4707_EOvsC
A_23_P317207	1465	0.01355	ATXN7L2	GSE4707_EOvsC
A_24_P169903	1474	0.01295	NA	GSE4707_EOvsC
A_32_P775081	1484	0.04763	PTGES2-AS1	GSE4707_EOvsC
A_23_P27767	1488	0.00197	ZNF444	GSE4707_EOvsC
A_23_P134008	1495	0.03606	USP45	GSE4707_EOvsC
A_23_P107693	1496	0.00492	ZNF586	GSE4707_EOvsC
A_24_P361643	1499	0.01694	PROSER3	GSE4707_EOvsC
A_24_P49647	1501	0.00023	CCDC144A	GSE4707_EOvsC
A_23_P258633	1502	0.00023	TH	GSE4707_EOvsC
A_24_P943922	1503	0.01529	CACHD1	GSE4707_EOvsC
A_24_P923832	1512	0.02088	ADAMTS13	GSE4707_EOvsC
A_32_P92295	1521	0.01213	RPL13A	GSE4707_EOvsC
A_24_P677734	1526	0.02885	OIP5-AS1	GSE4707_EOvsC
A_23_P29621	1556	0.03763	GLYCTK	GSE4707_EOvsC
A_24_P20369	1560	0.00835	SLC6A20	GSE4707_EOvsC
A_23_P165090	1573	0.00276	NDUFS7	GSE4707_EOvsC
A_24_P112160	1582	0.03217	NA	GSE4707_EOvsC
A_32_P6442	1622	0.03565	NA	GSE4707_EOvsC
A_32_P185718	1632	0.01761	NA	GSE4707_EOvsC
A_23_P164210	1637	0.0064	TBC1D3F	GSE4707_EOvsC
A_24_P912856	1640	0.0172	NA	GSE4707_EOvsC
A_24_P929985	1649	0.00588	NA	GSE4707_EOvsC
A_24_P762613	1657	0.00898	DNM3OS	GSE4707_EOvsC
A_24_P115450	1660	0.01445	BIN3	GSE4707_EOvsC
A_24_P318967	1675	0.01174	PDXK	GSE4707_EOvsC
A_24_P62883	1678	0.02718	UCN	GSE4707_EOvsC
A_32_P162646	1688	0.01398	NA	GSE4707_EOvsC
A_23_P127322	1689	0.02174	NODAL	GSE4707_EOvsC
A_24_P67681	1694	0.00068	NA	GSE4707_EOvsC
A_23_P983	1696	0.03391	PRDX6	GSE4707_EOvsC
A_23_P128974	1698	0.02492	BATF	GSE4707_EOvsC
A_23_P201706	1713	0.01486	S100A2	GSE4707_EOvsC
A_23_P150919	1715	0.00865	ORAI1	GSE4707_EOvsC
A_23_P99452	1717	0.00568	BRCA2	GSE4707_EOvsC
A_23_P166400	1731	0.00148	RASL10A	GSE4707_EOvsC
A_24_P203072	1736	0.02724	JADE3	GSE4707_EOvsC
A_32_P6972	1742	0.00019	NA	GSE4707_EOvsC
A_24_P83944	1747	0.01093	ZNF586	GSE4707_EOvsC
A_23_P356646	1757	0.00161	TEKT4P2	GSE4707_EOvsC
A_32_P170621	1764	0.01933	NA	GSE4707_EOvsC
A_23_P371865	1773	0.04336	CDYL2	GSE4707_EOvsC
A_23_P44436	1798	0.0347	GKN1	GSE4707_EOvsC
A_24_P932016	1812	0.00282	HUWE1	GSE4707_EOvsC
A_24_P101201	1819	0.00096	PDIA3	GSE4707_EOvsC
A_24_P754989	1825	0.03145	NA	GSE4707_EOvsC
A_23_P214091	1830	0.02988	LYPLA1	GSE4707_EOvsC
A_24_P271985	1839	0.00285	GIGYF2	GSE4707_EOvsC
A_32_P66788	1842	0.04001	NA	GSE4707_EOvsC
A_24_P21727	1853	0.00182	C11orf57	GSE4707_EOvsC
A_32_P216175	1863	0.01739	NA	GSE4707_EOvsC
A_23_P258978	1864	0.0221	GOLGA1	GSE4707_EOvsC
A_23_P28120	1865	0.00891	SIX2	GSE4707_EOvsC
A_32_P39866	1866	0.01194	NA	GSE4707_EOvsC
A_23_P149042	1876	0.00227	PYCR2	GSE4707_EOvsC
A_32_P194062	1877	0.03157	TYR	GSE4707_EOvsC
A_32_P31963	1878	2e-05	NA	GSE4707_EOvsC
A_32_P380365	1879	0.01425	NA	GSE4707_EOvsC
A_24_P879895	1882	0.04527	LOC105371967	GSE4707_EOvsC
A_23_P103496	1883	0.0162	GBP4	GSE4707_EOvsC
A_32_P181564	1889	0.01164	NA	GSE4707_EOvsC
A_23_P12373	1891	0.0497	NA	GSE4707_EOvsC
A_23_P105423	1894	0.00688	NA	GSE4707_EOvsC
A_23_P121405	1899	0.02743	RBM15B	GSE4707_EOvsC
A_32_P63069	1904	0.00593	NA	GSE4707_EOvsC
A_32_P66222	1911	9e-05	ANKRD20A2	GSE4707_EOvsC
A_23_P81131	1915	0.04587	CORIN	GSE4707_EOvsC
A_24_P167877	1916	0.00392	NPIPB12	GSE4707_EOvsC
A_23_P55961	1921	0.00089	TULP2	GSE4707_EOvsC
A_32_P123852	1924	0.03265	NA	GSE4707_EOvsC
A_32_P80523	1926	0.00587	NA	GSE4707_EOvsC
A_24_P367421	1927	0.00984	NA	GSE4707_EOvsC
A_23_P14216	1928	0.02173	NA	GSE4707_EOvsC
A_32_P145740	1930	0.04265	NA	GSE4707_EOvsC
A_23_P49499	1967	0.03786	ST6GALNAC2	GSE4707_EOvsC
A_23_P22723	1975	0.03198	ATP2B3	GSE4707_EOvsC
A_23_P74330	1987	0.01153	LINC00626	GSE4707_EOvsC
A_24_P132787	2006	0.03509	RAB18	GSE4707_EOvsC
A_24_P86537	2008	0.00028	HSPB1	GSE4707_EOvsC
A_32_P166480	2013	0.0043	CCDC171	GSE4707_EOvsC
A_32_P177024	2041	0.0185	SBDS	GSE4707_EOvsC
A_23_P117679	2044	0.02912	SLC30A4	GSE4707_EOvsC
A_24_P376707	2052	0.00042	HDGF	GSE4707_EOvsC
A_24_P172304	2057	0.00105	ADAMTS13	GSE4707_EOvsC
A_23_P364355	2058	0.0013	NA	GSE4707_EOvsC
A_23_P67198	2061	0.00862	CPAMD8	GSE4707_EOvsC
A_23_P44037	2066	0.00948	ACTG1	GSE4707_EOvsC
A_24_P88266	2067	0.02135	PROX1	GSE4707_EOvsC
A_23_P408822	2070	0.04574	DBF4B	GSE4707_EOvsC
A_24_P741529	2073	0.03857	NA	GSE4707_EOvsC
A_24_P794529	2076	0.01659	LINC02028	GSE4707_EOvsC
A_24_P927377	2079	0.0325	MDM4	GSE4707_EOvsC
A_24_P919020	2083	0.00203	NA	GSE4707_EOvsC
A_32_P35751	2084	0.02655	NA	GSE4707_EOvsC
A_23_P399112	2088	0.00364	MYADM	GSE4707_EOvsC
A_23_P163336	2092	0.0269	CA12	GSE4707_EOvsC
A_24_P252310	2098	0.04208	FAM131B	GSE4707_EOvsC
A_24_P402588	2105	0.00424	BCL11A	GSE4707_EOvsC
A_23_P401904	2107	0.0095	PHF19	GSE4707_EOvsC
A_24_P37962	2110	0.04501	HK3	GSE4707_EOvsC
A_23_P23227	2111	0.00369	PKN2	GSE4707_EOvsC
A_32_P185701	2124	0.02419	NA	GSE4707_EOvsC
A_23_P139509	2125	0.03094	ERGIC2	GSE4707_EOvsC
A_24_P911928	2136	0.01046	NA	GSE4707_EOvsC
A_24_P149266	2137	0.04698	PACSIN1	GSE4707_EOvsC
A_23_P150818	2140	0.00026	MBD6	GSE4707_EOvsC
A_23_P67521	2144	0.02398	IRGC	GSE4707_EOvsC
A_23_P125056	2147	0.01805	ADGRB1	GSE4707_EOvsC
A_24_P418590	2148	0.01654	NA	GSE4707_EOvsC
A_23_P103454	2156	0.03938	NBPF3	GSE4707_EOvsC
A_23_P138168	2159	0.03238	CNN3	GSE4707_EOvsC
A_23_P79069	2211	0.00917	RASAL3	GSE4707_EOvsC
A_23_P348208	2214	0.04401	SPRR1A	GSE4707_EOvsC
A_24_P22562	2216	0.01899	FAM215A	GSE4707_EOvsC
A_23_P368624	2220	0.03074	CHRNB2	GSE4707_EOvsC
A_24_P319715	2239	0.02999	PDIA6	GSE4707_EOvsC
A_24_P126262	2244	0.00933	BAGE4	GSE4707_EOvsC
A_24_P92451	2247	0.01289	FAM230B	GSE4707_EOvsC
A_23_P158537	2249	0.01606	LOC100131532	GSE4707_EOvsC
A_24_P924739	2262	0.00688	NA	GSE4707_EOvsC
A_24_P347880	2275	0.0022	ALOXE3	GSE4707_EOvsC
A_23_P64792	2281	0.00175	KCNMB4	GSE4707_EOvsC
A_32_P29016	2288	0.02313	NA	GSE4707_EOvsC
A_24_P759955	2289	0.01279	NA	GSE4707_EOvsC
A_24_P93703	2291	0.00482	TMEM198B	GSE4707_EOvsC
A_32_P347617	2293	0.03996	APOBEC3H	GSE4707_EOvsC
A_24_P920170	2294	0.01465	NA	GSE4707_EOvsC
A_23_P310560	2295	0.0218	NUDT16	GSE4707_EOvsC
A_23_P402123	2302	0.04663	TAS2R1	GSE4707_EOvsC
A_32_P103614	2307	0.03163	NA	GSE4707_EOvsC
A_23_P250462	2323	0.03548	ATP6AP1	GSE4707_EOvsC
A_24_P164838	2330	0.04557	SPATA2	GSE4707_EOvsC
A_24_P419087	2336	2e-05	AVIL	GSE4707_EOvsC
A_24_P860417	2343	0.01574	NA	GSE4707_EOvsC
A_23_P86632	2346	0.02831	DCLRE1C	GSE4707_EOvsC
A_23_P1948	2347	0.00768	LBHD1	GSE4707_EOvsC
A_24_P921155	2349	9e-04	NEPRO	GSE4707_EOvsC
A_24_P408603	2354	0.04927	RAB39B	GSE4707_EOvsC
A_24_P916496	2358	0.0088	PRKCA	GSE4707_EOvsC
A_32_P139219	2359	0.00087	NA	GSE4707_EOvsC
A_23_P428382	2383	0.02561	AFTPH	GSE4707_EOvsC
A_23_P375524	2389	0.02135	LCE1D	GSE4707_EOvsC
A_24_P362904	2401	0.0215	PFKFB4	GSE4707_EOvsC
A_23_P250042	2418	0.02295	SELENOT	GSE4707_EOvsC
A_24_P221778	2421	0.04099	NA	GSE4707_EOvsC
A_23_P375494	2425	0.00459	CEBPA	GSE4707_EOvsC
A_24_P397817	2432	0	LEP	GSE4707_EOvsC
A_23_P65609	2436	0.01035	GTF2A1	GSE4707_EOvsC
A_24_P87746	2440	0.02666	KIR2DS4	GSE4707_EOvsC
A_23_P108994	2466	0.00234	RPN2	GSE4707_EOvsC
A_23_P310921	2472	0.03962	PCDH7	GSE4707_EOvsC
A_24_P36229	2482	0.03991	DTNA	GSE4707_EOvsC
A_24_P238649	2485	0.01722	NOTCH2NL	GSE4707_EOvsC
A_23_P72663	2503	0.0103	OPCML	GSE4707_EOvsC
A_32_P16422	2521	0.04026	PRSS38	GSE4707_EOvsC
A_24_P188377	2530	0.00055	CD55	GSE4707_EOvsC
A_23_P46829	2535	0.01379	FGF8	GSE4707_EOvsC
A_24_P375691	2538	9e-04	LOC284412	GSE4707_EOvsC
A_24_P605563	2542	0.01074	IGLJ3	GSE4707_EOvsC
A_32_P27991	2549	0.02668	NA	GSE4707_EOvsC
A_23_P397856	2562	0.04367	TIRAP	GSE4707_EOvsC
A_32_P151589	2563	0.0042	SMARCA2	GSE4707_EOvsC
A_24_P923670	2565	0.03659	NA	GSE4707_EOvsC
A_32_P72887	2571	0.04153	NA	GSE4707_EOvsC
A_24_P928068	2578	0.03334	TAF15	GSE4707_EOvsC
A_32_P40288	2581	0.01089	TMEM200A	GSE4707_EOvsC
A_23_P45140	2593	0.01023	KRAS	GSE4707_EOvsC
A_32_P94087	2631	0.00024	RPL21P44	GSE4707_EOvsC
A_24_P221885	2633	0.0029	TRIOBP	GSE4707_EOvsC
A_24_P33575	2644	0.02198	NA	GSE4707_EOvsC
A_32_P179526	2647	4e-05	ZBTB20	GSE4707_EOvsC
A_23_P71948	2650	0.02573	AKNA	GSE4707_EOvsC
A_23_P133916	2655	0.02801	C2	GSE4707_EOvsC
A_32_P49423	2660	0.03893	NPM1	GSE4707_EOvsC
A_23_P56604	2668	0.03014	IL1RL2	GSE4707_EOvsC
A_23_P218269	2669	0.00246	TAOK2	GSE4707_EOvsC
A_24_P8575	2690	0.00578	OTUD3	GSE4707_EOvsC
A_32_P139842	2702	0.00048	NA	GSE4707_EOvsC
A_24_P321369	2706	0.03322	SRPRA	GSE4707_EOvsC
A_23_P200560	2709	0.03195	CDC42	GSE4707_EOvsC
A_23_P2967	2714	0.0134	AP1G2	GSE4707_EOvsC
