probe	id	pvalue	symbol	group
NM_006206		8.25E-04	PDGFRA	GSE43942_PEvC
NM_014449		8.42E-04	GPR162	GSE43942_PEvC
NM_181873		8.42E-04	MTMR11	GSE43942_PEvC
AK027395		8.58E-04	CRISPLD2	GSE43942_PEvC
AK127038		8.72E-04	DNM1	GSE43942_PEvC
AK056469		8.88E-04	SH3PXD2A	GSE43942_PEvC
BC039007		8.91E-04	FLT1	GSE43942_PEvC
NM_080546		8.97E-04	SLC44A1	GSE43942_PEvC
NM_006449		8.98E-04	CDC42EP3	GSE43942_PEvC
NM_001014796		9.00E-04	DDR2	GSE43942_PEvC
BC015786		9.06E-04	LNK	GSE43942_PEvC
NM_006670		9.08E-04	TPBG	GSE43942_PEvC
NM_000230		9.09E-04	LEP	GSE43942_PEvC
NM_138326		9.28E-04	ACMSD	GSE43942_PEvC
AY639929		9.33E-04	ANKRD25	GSE43942_PEvC
AY349358		9.79E-04	MEIS2	GSE43942_PEvC
NM_138412		9.81E-04	RDH13	GSE43942_PEvC
NM_032609		9.93E-04	COX4I2	GSE43942_PEvC
XM_931005		0.00100753	FLJ31033	GSE43942_PEvC
NM_006682		0.001024652	FGL2	GSE43942_PEvC
NM_021942		0.001026847	FLJ12716	GSE43942_PEvC
BC042943		0.001031418	USP6NL	GSE43942_PEvC
BC019358		0.001033583	TTYH1	GSE43942_PEvC
NM_152573		0.001040262	RASEF	GSE43942_PEvC
BC014535		0.001040978	PARVA	GSE43942_PEvC
NM_001008712		0.00104487	RBPMS	GSE43942_PEvC
BC011024		0.001048894	CLEC3B	GSE43942_PEvC
NM_003355		0.001052489	UCP2	GSE43942_PEvC
AK026780		0.001060433	WDR19	GSE43942_PEvC
NM_004887		0.001067472	CXCL14	GSE43942_PEvC
AK123231		0.001070066	N/A	GSE43942_PEvC
AB073660		0.001072233	N/A	GSE43942_PEvC
NM_002839		0.00108477	PTPRD	GSE43942_PEvC
BC011883		0.001099352	SORBS2	GSE43942_PEvC
NM_006634		0.00111718	VAMP5	GSE43942_PEvC
XM_931093		0.001117851	MICAL3	GSE43942_PEvC
NM_001365		0.00113766	DLG4	GSE43942_PEvC
NM_001802		0.00117454	CDR2	GSE43942_PEvC
NM_003455		0.001179443	ZNF202	GSE43942_PEvC
BC047782		0.001183358	N/A	GSE43942_PEvC
BX537529		0.001192079	NEIL2	GSE43942_PEvC
BC000125		0.00119404	TGFB1	GSE43942_PEvC
NM_145910		0.001200157	NEK11	GSE43942_PEvC
NM_001849		0.001202196	COL6A2	GSE43942_PEvC
BC000594		0.001202812	LOXL2	GSE43942_PEvC
NM_002705		0.001204747	PPL	GSE43942_PEvC
BC032312		0.001215314	TBRG1	GSE43942_PEvC
BC106086		0.00121752	C20orf194	GSE43942_PEvC
NM_005583		0.001231081	LYL1	GSE43942_PEvC
BC029917		0.001235785	PIK3AP1	GSE43942_PEvC
BC005374		0.001239155	TXNDC4	GSE43942_PEvC
NM_004840		0.001255474	ARHGEF6	GSE43942_PEvC
NM_001017977		0.001262461	IQWD1	GSE43942_PEvC
AF106911		0.00126988	CXCL14	GSE43942_PEvC
NM_002019		0.001272766	FLT1	GSE43942_PEvC
XM_498162		0.001294961	LOC653429	GSE43942_PEvC
NM_017413		0.001295426	APLN	GSE43942_PEvC
BC020516		0.001298531	IRF2BP2	GSE43942_PEvC
NM_001164		0.001300203	APBB1	GSE43942_PEvC
BC008573		0.00130215	HIG2	GSE43942_PEvC
BC027889		0.001303812	GJA4	GSE43942_PEvC
NM_001039374		0.001304836	KIAA1984	GSE43942_PEvC
CR456364		0.00130554	MICAL3	GSE43942_PEvC
BC033740		0.001320931	TNXB	GSE43942_PEvC
NM_033295		0.001341362	CASP1	GSE43942_PEvC
U91935		0.00135082	POU6F2	GSE43942_PEvC
NM_139247		0.001364559	ADCY4	GSE43942_PEvC
BX537525		0.00136655	ZNF185	GSE43942_PEvC
AK096025		0.001366978	ZNF7	GSE43942_PEvC
NM_020659		0.001367441	TTYH1	GSE43942_PEvC
BC014271		0.001369078	ENG	GSE43942_PEvC
CR590682		0.001371234	N/A	GSE43942_PEvC
AF329733		0.001371349	MAGED4	GSE43942_PEvC
NM_000214		0.001381239	JAG1	GSE43942_PEvC
NM_001025201		0.00141437	CHN1	GSE43942_PEvC
NM_207517		0.001416883	ADAMTSL3	GSE43942_PEvC
XM_928117		0.001426183	LOC645074	GSE43942_PEvC
NM_004232		0.00142638	SOCS6	GSE43942_PEvC
NM_003311		0.001445673	PHLDA2	GSE43942_PEvC
AK094281		0.001454585	FRMD3	GSE43942_PEvC
NM_002017		0.00146648	FLI1	GSE43942_PEvC
NM_006219		0.00148854	PIK3CB	GSE43942_PEvC
NM_001848		0.001498982	COL6A1	GSE43942_PEvC
BC056418		0.001503306	MCAM	GSE43942_PEvC
BC089454		0.00151178	N/A	GSE43942_PEvC
BC005916		0.001515344	PTN	GSE43942_PEvC
NM_014240		0.001538219	LIMD1	GSE43942_PEvC
XM_926771		0.001542364	LOC643439	GSE43942_PEvC
BC003175		0.001544059	NDRG1	GSE43942_PEvC
NM_005226		0.001554595	EDG3	GSE43942_PEvC
BC052997		0.001569936	ZNF175	GSE43942_PEvC
CR749357		0.001578134	PIK3CB	GSE43942_PEvC
NM_018643		0.001607607	TREM1	GSE43942_PEvC
XM_927666		0.00161532	LOC644544	GSE43942_PEvC
AK023129		0.001616397	HP1BP3	GSE43942_PEvC
AK131503		0.001643009	SERPINH1	GSE43942_PEvC
NM_006404		0.001644446	PROCR	GSE43942_PEvC
XM_934872		0.001649239	LOC653562	GSE43942_PEvC
BX648615		0.001662086	PKNOX2	GSE43942_PEvC
NM_139126		0.001673785	PPIL4	GSE43942_PEvC
BC032597		0.001683581	NEDD4L	GSE43942_PEvC
BC006224		0.001688006	MGC11257	GSE43942_PEvC
NM_153711		0.001701012	C6orf188	GSE43942_PEvC
NM_001772		0.001707249	CD33	GSE43942_PEvC
NM_016363		0.001710439	GP6	GSE43942_PEvC
NM_024800		0.001716785	NEK11	GSE43942_PEvC
BC047690		0.001719556	MRAS	GSE43942_PEvC
AK130055		0.00173222	SPSB1	GSE43942_PEvC
NM_030652		0.001743077	EGFL8	GSE43942_PEvC
NM_014476		0.00176435	PDLIM3	GSE43942_PEvC
NM_005629		0.001765767	SLC6A8	GSE43942_PEvC
NM_130845		0.001766171	SNTB2	GSE43942_PEvC
AK090886		0.00176936	CYP46A1	GSE43942_PEvC
NM_004554		0.001769545	NFATC4	GSE43942_PEvC
XM_929620		0.001771874	LOC646674	GSE43942_PEvC
BC012355		0.001782869	SLC6A8	GSE43942_PEvC
NM_004715		0.001789634	CTDP1	GSE43942_PEvC
NM_014674		0.001830642	EDEM1	GSE43942_PEvC
NM_002052		0.001834537	GATA4	GSE43942_PEvC
BC012444		0.001835584	CLIC4	GSE43942_PEvC
NM_001897		0.001836832	CSPG4	GSE43942_PEvC
NM_001009812		0.001843926	LBX2	GSE43942_PEvC
NM_003102		0.001847191	SOD3	GSE43942_PEvC
NM_004862		0.001858196	LITAF	GSE43942_PEvC
XM_071712		0.001865787	LOC120376	GSE43942_PEvC
NM_000494		0.001887534	COL17A1	GSE43942_PEvC
NM_005291		0.001908437	GPR17	GSE43942_PEvC
BC021116		0.001939125	HK2	GSE43942_PEvC
XM_934514		0.001939856	LOC644714	GSE43942_PEvC
AF179899		0.001952104	MEIS2	GSE43942_PEvC
NM_018384		0.001957738	GIMAP5	GSE43942_PEvC
NM_152721		0.001967909	DOK6	GSE43942_PEvC
BC003513		0.001981598	CXCL14	GSE43942_PEvC
NM_152636		0.002015652	METT5D1	GSE43942_PEvC
NM_022469		0.002025232	GREM2	GSE43942_PEvC
NM_033086		0.002061074	FGD3	GSE43942_PEvC
BC005901		0.002067364	MFAP5	GSE43942_PEvC
NM_004075		0.002071544	CRY1	GSE43942_PEvC
BC090931		0.002088108	PAG1	GSE43942_PEvC
NM_207376		0.002102705	LOC387882	GSE43942_PEvC
U18759		0.002116747	NFIX	GSE43942_PEvC
AF221846		0.002127995	N/A	GSE43942_PEvC
BC011444		0.002130431	CFL2	GSE43942_PEvC
BC032788		0.002141525	GPX7	GSE43942_PEvC
BC092487		0.002143215	ASAH3L	GSE43942_PEvC
NM_000522		0.00215229	HOXA13	GSE43942_PEvC
NM_020360		0.002169295	PLSCR3	GSE43942_PEvC
NM_013332		0.002170937	HIG2	GSE43942_PEvC
BC012385		0.00217491	FBXO17	GSE43942_PEvC
BC036054		0.002178505	C18orf54	GSE43942_PEvC
NM_003391		0.002193471	WNT2	GSE43942_PEvC
BC069270		0.002196071	C7orf19	GSE43942_PEvC
