probe	id	pvalue	symbol	group
7896742	7896742	0.01991	NA	GSE24129_CasevsControl
7896744	7896744	0.01458	NA	GSE24129_CasevsControl
7897305	7897305	0.04432	ZBTB48	GSE24129_CasevsControl
7897378	7897378	0.01546	PER3	GSE24129_CasevsControl
7897849	7897849	0.03542	MIIP	GSE24129_CasevsControl
7898167	7898167	0.03493	CTRC	GSE24129_CasevsControl
7898300	7898300	0.04218	CLCNKA	GSE24129_CasevsControl
7898413	7898413	0.04981	PADI1	GSE24129_CasevsControl
7898655	7898655	0.02373	CDA	GSE24129_CasevsControl
7898679	7898679	0.00201	NBPF3	GSE24129_CasevsControl
7898707	7898707	0.01156	LDLRAD2	GSE24129_CasevsControl
7898910	7898910	0.02055	PNRC2	GSE24129_CasevsControl
7898916	7898916	0.02866	GRHL3	GSE24129_CasevsControl
7898939	7898939	0.03403	NIPAL3	GSE24129_CasevsControl
7899029	7899029	0.00157	MAN1C1	GSE24129_CasevsControl
7899071	7899071	0.00546	NA	GSE24129_CasevsControl
7899343	7899343	0.0053	GPR3	GSE24129_CasevsControl
7899502	7899502	0.02275	NA	GSE24129_CasevsControl
7899562	7899562	0.01726	PTPRU	GSE24129_CasevsControl
7899600	7899600	0.02622	NA	GSE24129_CasevsControl
7899790	7899790	0.00917	TSSK3	GSE24129_CasevsControl
7899813	7899813	0.03373	RBBP4	GSE24129_CasevsControl
7899829	7899829	0.01039	S100PBP	GSE24129_CasevsControl
7899870	7899870	0.014	ZNF362	GSE24129_CasevsControl
7900030	7900030	0.04494	NA	GSE24129_CasevsControl
7900468	7900468	0.03886	NFYC	GSE24129_CasevsControl
7900540	7900540	0.01645	RIMKLA	GSE24129_CasevsControl
7900635	7900635	0.01181	FAM183A	GSE24129_CasevsControl
7900957	7900957	0.03812	KLF17	GSE24129_CasevsControl
7901046	7901046	0.00779	SNORD55	GSE24129_CasevsControl
7901135	7901135	0.03297	TMEM69	GSE24129_CasevsControl
7901385	7901385	0.03854	OSBPL9	GSE24129_CasevsControl
7901426	7901426	0.00706	ZFYVE9	GSE24129_CasevsControl
7902023	7902023	0.01705	RAVER2	GSE24129_CasevsControl
7902203	7902203	0.01564	NA	GSE24129_CasevsControl
7902282	7902282	0.03265	HHLA3	GSE24129_CasevsControl
7902441	7902441	0.02542	ST6GALNAC5	GSE24129_CasevsControl
7902822	7902822	0.01182	PKN2	GSE24129_CasevsControl
7903119	7903119	0.00094	ABCD3	GSE24129_CasevsControl
7903183	7903183	0.01329	NA	GSE24129_CasevsControl
7903239	7903239	0.01847	AGL	GSE24129_CasevsControl
7903321	7903321	0.03783	RTCA	GSE24129_CasevsControl
7903404	7903404	0.0436	RNPC3	GSE24129_CasevsControl
7903959	7903959	0.04121	PIFO	GSE24129_CasevsControl
7904000	7904000	0.01909	DDX20	GSE24129_CasevsControl
7904158	7904158	0.03047	OLFML3	GSE24129_CasevsControl
7904469	7904469	0.02382	NA	GSE24129_CasevsControl
7904482	7904482	0.02721	NA	GSE24129_CasevsControl
7904702	7904702	0.03628	NA	GSE24129_CasevsControl
7904863	7904863	0.00372	NA	GSE24129_CasevsControl
7904879	7904879	0.02255	NA	GSE24129_CasevsControl
7904883	7904883	0.01773	CHD1L	GSE24129_CasevsControl
7905067	7905067	0.01749	NA	GSE24129_CasevsControl
7905233	7905233	0.0065	ADAMTSL4	GSE24129_CasevsControl
7905283	7905283	0.03504	ANXA9	GSE24129_CasevsControl
7905444	7905444	0.00282	SNX27	GSE24129_CasevsControl
7905510	7905510	0.0064	LCE4A	GSE24129_CasevsControl
7905817	7905817	0.01701	CHRNB2	GSE24129_CasevsControl
7905881	7905881	0.01399	ADAM15	GSE24129_CasevsControl
7905927	7905927	0.02294	NA	GSE24129_CasevsControl
7906079	7906079	0.01937	RAB25	GSE24129_CasevsControl
7906146	7906146	0.04536	TMEM79	GSE24129_CasevsControl
7906767	7906767	0.01369	NA	GSE24129_CasevsControl
7906878	7906878	0.0313	DDR2	GSE24129_CasevsControl
7906900	7906900	0.01203	DDR2	GSE24129_CasevsControl
7907297	7907297	0.02957	FMO4	GSE24129_CasevsControl
7907492	7907492	0.01786	RABGAP1L	GSE24129_CasevsControl
7907572	7907572	0.00014	PAPPA2	GSE24129_CasevsControl
7908003	7908003	0.04725	NPL	GSE24129_CasevsControl
7908041	7908041	0.00208	LAMC1	GSE24129_CasevsControl
7908459	7908459	0.01678	CFH	GSE24129_CasevsControl
7908917	7908917	0.03327	BTG2	GSE24129_CasevsControl
7909088	7909088	0.0048	TMCC2	GSE24129_CasevsControl
7909127	7909127	0.00196	MFSD4A	GSE24129_CasevsControl
7909142	7909142	0.04623	NUCKS1	GSE24129_CasevsControl
7909175	7909175	0.00197	SRGAP2	GSE24129_CasevsControl
7909285	7909285	0.02681	PFKFB2	GSE24129_CasevsControl
7909689	7909689	0.01026	SMYD2	GSE24129_CasevsControl
7909745	7909745	0.00243	KCTD3	GSE24129_CasevsControl
7909801	7909801	0.01583	LYPLAL1	GSE24129_CasevsControl
7909841	7909841	0.00512	MARK1	GSE24129_CasevsControl
7910111	7910111	0.01494	EPHX1	GSE24129_CasevsControl
7910134	7910134	0.00202	MIXL1	GSE24129_CasevsControl
7910369	7910369	0.01565	HIST3H2BB	GSE24129_CasevsControl
7910381	7910381	0.00418	NA	GSE24129_CasevsControl
7910427	7910427	0.01514	GALNT2	GSE24129_CasevsControl
7910591	7910591	0.00102	NTPCR	GSE24129_CasevsControl
7910638	7910638	0.01062	NA	GSE24129_CasevsControl
7910676	7910676	0.02724	NA	GSE24129_CasevsControl
7910752	7910752	0.01692	MTR	GSE24129_CasevsControl
7911218	7911218	0.00204	NA	GSE24129_CasevsControl
7911229	7911229	0.02485	NA	GSE24129_CasevsControl
7911231	7911231	0.02477	NA	GSE24129_CasevsControl
7911233	7911233	0.00196	OR2T8	GSE24129_CasevsControl
7911329	7911329	0.00981	NA	GSE24129_CasevsControl
7911345	7911345	0.01234	NA	GSE24129_CasevsControl
7911347	7911347	0.01965	NA	GSE24129_CasevsControl
7912157	7912157	0.00121	ERRFI1	GSE24129_CasevsControl
7912224	7912224	0.0399	SLC2A5	GSE24129_CasevsControl
7912239	7912239	0.01043	GPR157	GSE24129_CasevsControl
7912520	7912520	0.02933	NPPB	GSE24129_CasevsControl
7912629	7912629	0.00937	TMEM51-AS1	GSE24129_CasevsControl
7912975	7912975	0.04903	ALDH4A1	GSE24129_CasevsControl
7913271	7913271	0.02188	KIF17	GSE24129_CasevsControl
7913385	7913385	0.03505	RAP1GAP	GSE24129_CasevsControl
7913667	7913667	0.01023	GALE	GSE24129_CasevsControl
7913705	7913705	0.0149	CNR2	GSE24129_CasevsControl
7913712	7913712	0.00859	SRSF10	GSE24129_CasevsControl
7914214	7914214	0.04859	NA	GSE24129_CasevsControl
7914216	7914216	0.00418	NA	GSE24129_CasevsControl
7914282	7914282	0.00509	SDC3	GSE24129_CasevsControl
7914617	7914617	0.00122	AK2	GSE24129_CasevsControl
7914917	7914917	0.0313	LSM10	GSE24129_CasevsControl
7915277	7915277	0.01618	MYCL	GSE24129_CasevsControl
7915472	7915472	0.00202	SLC2A1	GSE24129_CasevsControl
7915563	7915563	0.00907	NA	GSE24129_CasevsControl
7915614	7915614	0.01506	PTCH2	GSE24129_CasevsControl
7915718	7915718	0.00983	TESK2	GSE24129_CasevsControl
7915846	7915846	0.0356	MKNK1	GSE24129_CasevsControl
7916112	7916112	0.04452	RAB3B	GSE24129_CasevsControl
7916185	7916185	0.02156	ZCCHC11	GSE24129_CasevsControl
7916403	7916403	0.00396	SSBP3	GSE24129_CasevsControl
7916432	7916432	0.04898	DHCR24	GSE24129_CasevsControl
7916616	7916616	0.01691	CYP2J2	GSE24129_CasevsControl
7916808	7916808	0.02564	SLC35D1	GSE24129_CasevsControl
7916862	7916862	0.02881	WLS	GSE24129_CasevsControl
7917052	7917052	0.00733	SLC44A5	GSE24129_CasevsControl
7917359	7917359	0.03857	ZNHIT6	GSE24129_CasevsControl
7917482	7917482	0.01611	NA	GSE24129_CasevsControl
7917503	7917503	0.04907	GBP3	GSE24129_CasevsControl
7917752	7917752	0.00523	NA	GSE24129_CasevsControl
7917779	7917779	0.04404	GCLM	GSE24129_CasevsControl
7917850	7917850	0.04544	ARHGAP29	GSE24129_CasevsControl
7918255	7918255	0.0079	CLCC1	GSE24129_CasevsControl
7918300	7918300	0.04344	PSRC1	GSE24129_CasevsControl
7918313	7918313	0.03882	MYBPHL	GSE24129_CasevsControl
7918569	7918569	0.04227	ST7L	GSE24129_CasevsControl
7918622	7918622	0.00011	SLC16A1	GSE24129_CasevsControl
7918725	7918725	0.00751	TRIM33	GSE24129_CasevsControl
7918759	7918759	0.04322	BCAS2	GSE24129_CasevsControl
7918900	7918900	0.01718	NA	GSE24129_CasevsControl
7918925	7918925	0.00137	TRIM45	GSE24129_CasevsControl
7919049	7919049	0.00392	NA	GSE24129_CasevsControl
7919226	7919226	0.02089	POLR3C	GSE24129_CasevsControl
7919564	7919564	0.014	NA	GSE24129_CasevsControl
7919602	7919602	0.01148	NA	GSE24129_CasevsControl
7919627	7919627	0.01553	NA	GSE24129_CasevsControl
7919780	7919780	0.0139	GOLPH3L	GSE24129_CasevsControl
7920297	7920297	0.04895	S100A14	GSE24129_CasevsControl
7920337	7920337	0.03216	NA	GSE24129_CasevsControl
7920616	7920616	0.02189	DCST2	GSE24129_CasevsControl
7920642	7920642	0.04134	MUC1	GSE24129_CasevsControl
7920687	7920687	0.0014	GBAP1	GSE24129_CasevsControl
7920697	7920697	0.00161	GBA	GSE24129_CasevsControl
7920725	7920725	0.04066	SCAMP3	GSE24129_CasevsControl
7921319	7921319	0.04107	FCRL1	GSE24129_CasevsControl
7921332	7921332	0.04095	CD5L	GSE24129_CasevsControl
7921360	7921360	0.01289	OR6Y1	GSE24129_CasevsControl
7921538	7921538	0.037	IGSF8	GSE24129_CasevsControl
7921652	7921652	0.0034	SLAMF1	GSE24129_CasevsControl
7921773	7921773	0.00097	NECTIN4	GSE24129_CasevsControl
7921793	7921793	0.01777	DEDD	GSE24129_CasevsControl
7922174	7922174	0.00473	F5	GSE24129_CasevsControl
7922229	7922229	0.02851	SELE	GSE24129_CasevsControl
7922250	7922250	0.02226	SCYL3	GSE24129_CasevsControl
7922598	7922598	0.00842	ANGPTL1	GSE24129_CasevsControl
