probe	id	pvalue	symbol	group
ILMN_1343295	ILMN_1343295	0.02234	GAPDH	GSE44711_PEvC
ILMN_1651268	ILMN_1651268	0.03702	BORCS5	GSE44711_PEvC
ILMN_1651279	ILMN_1651279	0.034	NA	GSE44711_PEvC
ILMN_1651282	ILMN_1651282	0	COL17A1	GSE44711_PEvC
ILMN_1651285	ILMN_1651285	0.01568	BCL6B	GSE44711_PEvC
ILMN_1651286	ILMN_1651286	0.04118	GRHL1	GSE44711_PEvC
ILMN_1651316	ILMN_1651316	0.01192	CD69	GSE44711_PEvC
ILMN_1651354	ILMN_1651354	0.04868	SPP1	GSE44711_PEvC
ILMN_1651395	ILMN_1651395	0.00137	TIGD1	GSE44711_PEvC
ILMN_1651404	ILMN_1651404	0.03721	LILRA6	GSE44711_PEvC
ILMN_1651429	ILMN_1651429	0.02418	SELENOM	GSE44711_PEvC
ILMN_1651438	ILMN_1651438	0.01384	ZFPM1	GSE44711_PEvC
ILMN_1651477	ILMN_1651477	0.04385	ZCCHC9	GSE44711_PEvC
ILMN_1651501	ILMN_1651501	0.02401	ABCD4	GSE44711_PEvC
ILMN_1651538	ILMN_1651538	0.02191	NUMBL	GSE44711_PEvC
ILMN_1651554	ILMN_1651554	0.01911	RGS5	GSE44711_PEvC
ILMN_1651606	ILMN_1651606	0.00702	NA	GSE44711_PEvC
ILMN_1651656	ILMN_1651656	0.00056	PSG7	GSE44711_PEvC
ILMN_1651717	ILMN_1651717	0.03436	ADAMTS20	GSE44711_PEvC
ILMN_1651819	ILMN_1651819	0.02406	GALNT11	GSE44711_PEvC
ILMN_1651944	ILMN_1651944	0.04294	NA	GSE44711_PEvC
ILMN_1651964	ILMN_1651964	1e-05	ABCC5	GSE44711_PEvC
ILMN_1652000	ILMN_1652000	0.04121	NA	GSE44711_PEvC
ILMN_1652017	ILMN_1652017	0.00023	PPEF1	GSE44711_PEvC
ILMN_1652024	ILMN_1652024	0.01876	CSNK1G3	GSE44711_PEvC
ILMN_1652175	ILMN_1652175	0.00069	KRTAP9-8	GSE44711_PEvC
ILMN_1652205	ILMN_1652205	0.02033	NA	GSE44711_PEvC
ILMN_1652276	ILMN_1652276	0.02338	MAGEA3	GSE44711_PEvC
ILMN_1652287	ILMN_1652287	0.00061	NOG	GSE44711_PEvC
ILMN_1652300	ILMN_1652300	0.00612	ZNF507	GSE44711_PEvC
ILMN_1652366	ILMN_1652366	0.04631	NLRP7	GSE44711_PEvC
ILMN_1652378	ILMN_1652378	0.04303	IPO7	GSE44711_PEvC
ILMN_1652409	ILMN_1652409	0.01599	SPATA7	GSE44711_PEvC
ILMN_1652429	ILMN_1652429	0.00705	NA	GSE44711_PEvC
ILMN_1652456	ILMN_1652456	0.02042	TMEM98	GSE44711_PEvC
ILMN_1652472	ILMN_1652472	0.01343	BRAF	GSE44711_PEvC
ILMN_1652540	ILMN_1652540	0.00742	RELL2	GSE44711_PEvC
ILMN_1652649	ILMN_1652649	0.02195	NECTIN2	GSE44711_PEvC
ILMN_1652650	ILMN_1652650	0.00684	SH3KBP1	GSE44711_PEvC
ILMN_1652666	ILMN_1652666	0.00047	NA	GSE44711_PEvC
ILMN_1652719	ILMN_1652719	0.01153	TMCO5A	GSE44711_PEvC
ILMN_1652754	ILMN_1652754	0.02575	ZNF428	GSE44711_PEvC
ILMN_1652808	ILMN_1652808	0.03696	NA	GSE44711_PEvC
ILMN_1652906	ILMN_1652906	0.00262	GBGT1	GSE44711_PEvC
ILMN_1653026	ILMN_1653026	8e-05	PLAC8	GSE44711_PEvC
ILMN_1653133	ILMN_1653133	0.00714	SH3D19	GSE44711_PEvC
ILMN_1653158	ILMN_1653158	0.00108	DPRX	GSE44711_PEvC
ILMN_1653161	ILMN_1653161	0.00907	SNCG	GSE44711_PEvC
ILMN_1653165	ILMN_1653165	0.03143	AAMP	GSE44711_PEvC
ILMN_1653193	ILMN_1653193	0.04945	NA	GSE44711_PEvC
ILMN_1653202	ILMN_1653202	0.02341	NA	GSE44711_PEvC
ILMN_1653203	ILMN_1653203	0.00244	EFEMP2	GSE44711_PEvC
ILMN_1653209	ILMN_1653209	0.0012	ZWINT	GSE44711_PEvC
ILMN_1653228	ILMN_1653228	0.02025	C3orf22	GSE44711_PEvC
ILMN_1653266	ILMN_1653266	0.04702	DNAJB14	GSE44711_PEvC
ILMN_1653278	ILMN_1653278	0.01025	MUC20	GSE44711_PEvC
ILMN_1653410	ILMN_1653410	0.01	NA	GSE44711_PEvC
ILMN_1653494	ILMN_1653494	0.01569	S100A1	GSE44711_PEvC
ILMN_1653496	ILMN_1653496	0.02695	GLUL	GSE44711_PEvC
ILMN_1653500	ILMN_1653500	0.02951	NA	GSE44711_PEvC
ILMN_1653501	ILMN_1653501	0.04637	SEMA3B	GSE44711_PEvC
ILMN_1653504	ILMN_1653504	0.00813	S1PR1	GSE44711_PEvC
ILMN_1653577	ILMN_1653577	0.0173	NA	GSE44711_PEvC
ILMN_1653615	ILMN_1653615	0.01229	NA	GSE44711_PEvC
ILMN_1653665	ILMN_1653665	0.01356	TTN	GSE44711_PEvC
ILMN_1653670	ILMN_1653670	0.02065	CUL3	GSE44711_PEvC
ILMN_1653708	ILMN_1653708	0.00503	CORO1B	GSE44711_PEvC
ILMN_1653711	ILMN_1653711	0.00184	FZD2	GSE44711_PEvC
ILMN_1653712	ILMN_1653712	7e-05	UAP1L1	GSE44711_PEvC
ILMN_1653761	ILMN_1653761	0.00175	MYCN	GSE44711_PEvC
ILMN_1653822	ILMN_1653822	0.0386	NEK2	GSE44711_PEvC
ILMN_1653824	ILMN_1653824	0.00404	LAMC2	GSE44711_PEvC
ILMN_1653871	ILMN_1653871	0.01912	NAMPT	GSE44711_PEvC
ILMN_1654072	ILMN_1654072	0.03652	CX3CL1	GSE44711_PEvC
ILMN_1654108	ILMN_1654108	0.00657	NA	GSE44711_PEvC
ILMN_1654112	ILMN_1654112	0.03262	PARD6A	GSE44711_PEvC
ILMN_1654141	ILMN_1654141	0.00549	ZDHHC20	GSE44711_PEvC
ILMN_1654204	ILMN_1654204	0.03437	DNAJC5B	GSE44711_PEvC
ILMN_1654249	ILMN_1654249	0.0303	NA	GSE44711_PEvC
ILMN_1654319	ILMN_1654319	0.02176	HAPLN3	GSE44711_PEvC
ILMN_1654340	ILMN_1654340	0.02991	NA	GSE44711_PEvC
ILMN_1654357	ILMN_1654357	0.04669	ZNF24	GSE44711_PEvC
ILMN_1654398	ILMN_1654398	0.00644	RGL1	GSE44711_PEvC
ILMN_1654411	ILMN_1654411	0.00481	CCL18	GSE44711_PEvC
ILMN_1654457	ILMN_1654457	0.02827	TXN2	GSE44711_PEvC
ILMN_1654466	ILMN_1654466	0.00205	PLAC4	GSE44711_PEvC
ILMN_1654497	ILMN_1654497	0.00735	ATAD1	GSE44711_PEvC
ILMN_1654516	ILMN_1654516	0.00018	TMEM120A	GSE44711_PEvC
ILMN_1654552	ILMN_1654552	0.02872	MRPS31	GSE44711_PEvC
ILMN_1654570	ILMN_1654570	0.00911	TEKT1	GSE44711_PEvC
ILMN_1654629	ILMN_1654629	0.0152	TMEM175	GSE44711_PEvC
ILMN_1654677	ILMN_1654677	0.03795	RAD9B	GSE44711_PEvC
ILMN_1654691	ILMN_1654691	0.04745	FKBP3	GSE44711_PEvC
ILMN_1654696	ILMN_1654696	0.02326	C15orf48	GSE44711_PEvC
ILMN_1654773	ILMN_1654773	0.01552	CASK	GSE44711_PEvC
ILMN_1654778	ILMN_1654778	0.00671	LSP1	GSE44711_PEvC
ILMN_1654851	ILMN_1654851	0.03727	RETREG2	GSE44711_PEvC
ILMN_1654893	ILMN_1654893	0.00261	SCAMP2	GSE44711_PEvC
ILMN_1654945	ILMN_1654945	0.03017	DNMT3A	GSE44711_PEvC
ILMN_1654965	ILMN_1654965	0.01274	NA	GSE44711_PEvC
ILMN_1654998	ILMN_1654998	0.03585	PPP4R3A	GSE44711_PEvC
ILMN_1655077	ILMN_1655077	0.01661	PRDM1	GSE44711_PEvC
ILMN_1655136	ILMN_1655136	0.00347	FAM21EP	GSE44711_PEvC
ILMN_1655144	ILMN_1655144	0.03312	NA	GSE44711_PEvC
ILMN_1655244	ILMN_1655244	0.04695	DEXI	GSE44711_PEvC
ILMN_1655261	ILMN_1655261	0.04577	ERP27	GSE44711_PEvC
ILMN_1655296	ILMN_1655296	0.00739	UTRN	GSE44711_PEvC
ILMN_1655311	ILMN_1655311	0.02485	C15orf61	GSE44711_PEvC
ILMN_1655348	ILMN_1655348	0.00175	GPR1	GSE44711_PEvC
ILMN_1655405	ILMN_1655405	0.01423	SCARF2	GSE44711_PEvC
ILMN_1655418	ILMN_1655418	0.01545	CAPNS1	GSE44711_PEvC
ILMN_1655429	ILMN_1655429	0.00016	TNFAIP1	GSE44711_PEvC
ILMN_1655485	ILMN_1655485	0.00394	SPRTN	GSE44711_PEvC
ILMN_1655611	ILMN_1655611	0.01488	TSHZ2	GSE44711_PEvC
ILMN_1655614	ILMN_1655614	0.00491	DSP	GSE44711_PEvC
ILMN_1655654	ILMN_1655654	0.02029	MPDU1	GSE44711_PEvC
ILMN_1655659	ILMN_1655659	0.00325	NA	GSE44711_PEvC
ILMN_1655715	ILMN_1655715	0.00413	NA	GSE44711_PEvC
ILMN_1655740	ILMN_1655740	0.01875	SNAI2	GSE44711_PEvC
ILMN_1655904	ILMN_1655904	0.00411	ROR1	GSE44711_PEvC
ILMN_1655913	ILMN_1655913	0.00431	NUCB2	GSE44711_PEvC
ILMN_1655915	ILMN_1655915	0.00134	MMP11	GSE44711_PEvC
ILMN_1655987	ILMN_1655987	0.00699	STAB1	GSE44711_PEvC
ILMN_1656011	ILMN_1656011	0.02546	RGS1	GSE44711_PEvC
ILMN_1656069	ILMN_1656069	0.00295	LINC00482	GSE44711_PEvC
ILMN_1656111	ILMN_1656111	0.01819	MYLIP	GSE44711_PEvC
ILMN_1656123	ILMN_1656123	0.02581	SYNDIG1L	GSE44711_PEvC
ILMN_1656129	ILMN_1656129	0.00082	SLC39A10	GSE44711_PEvC
ILMN_1656145	ILMN_1656145	0.02527	GOT1	GSE44711_PEvC
ILMN_1656251	ILMN_1656251	0.04797	LINC00643	GSE44711_PEvC
ILMN_1656254	ILMN_1656254	0.0065	NA	GSE44711_PEvC
ILMN_1656257	ILMN_1656257	0.04711	LINC00917	GSE44711_PEvC
ILMN_1656266	ILMN_1656266	0.00359	LOC285097	GSE44711_PEvC
ILMN_1656287	ILMN_1656287	0.0069	SPOCK2	GSE44711_PEvC
ILMN_1656297	ILMN_1656297	0.00726	YBEY	GSE44711_PEvC
ILMN_1656361	ILMN_1656361	0.00117	ARHGAP27	GSE44711_PEvC
ILMN_1656369	ILMN_1656369	0.02312	C8orf4	GSE44711_PEvC
ILMN_1656372	ILMN_1656372	0.04171	PES1	GSE44711_PEvC
ILMN_1656373	ILMN_1656373	0.02955	BNC2	GSE44711_PEvC
ILMN_1656376	ILMN_1656376	0.01569	NA	GSE44711_PEvC
ILMN_1656422	ILMN_1656422	0.00162	GPR87	GSE44711_PEvC
ILMN_1656434	ILMN_1656434	0.00399	IP6K1	GSE44711_PEvC
ILMN_1656477	ILMN_1656477	0.03109	ARSA	GSE44711_PEvC
ILMN_1656501	ILMN_1656501	0.04644	DUSP5	GSE44711_PEvC
ILMN_1656502	ILMN_1656502	0.04359	NA	GSE44711_PEvC
ILMN_1656525	ILMN_1656525	0.01814	NA	GSE44711_PEvC
ILMN_1656540	ILMN_1656540	0.00433	RUVBL1	GSE44711_PEvC
ILMN_1656593	ILMN_1656593	0.01289	AK5	GSE44711_PEvC
ILMN_1656624	ILMN_1656624	0.01051	LINC01558	GSE44711_PEvC
ILMN_1656630	ILMN_1656630	0.01615	NA	GSE44711_PEvC
ILMN_1656670	ILMN_1656670	0.00088	HLA-G	GSE44711_PEvC
ILMN_1656682	ILMN_1656682	0.02362	AZIN1	GSE44711_PEvC
ILMN_1656732	ILMN_1656732	0.02615	LOC440300	GSE44711_PEvC
ILMN_1656837	ILMN_1656837	0.03286	RBP1	GSE44711_PEvC
ILMN_1656909	ILMN_1656909	0.0074	NA	GSE44711_PEvC
ILMN_1656921	ILMN_1656921	0.03999	NA	GSE44711_PEvC
ILMN_1656934	ILMN_1656934	0.00184	REPS2	GSE44711_PEvC
ILMN_1656938	ILMN_1656938	0.04603	SLC37A2	GSE44711_PEvC
ILMN_1656951	ILMN_1656951	0.00826	APCDD1	GSE44711_PEvC
ILMN_1657010	ILMN_1657010	0.03676	NA	GSE44711_PEvC
ILMN_1657039	ILMN_1657039	0.02517	FILIP1	GSE44711_PEvC
