probe	id	pvalue	symbol	group
ILMN_1653412	ILMN_1653412	0.02577	RAX2	GSE35574_CasevsControl
ILMN_1653428	ILMN_1653428	0.00118	SPINK9	GSE35574_CasevsControl
ILMN_1653432	ILMN_1653432	0.00089	HNRNPDL	GSE35574_CasevsControl
ILMN_1653438	ILMN_1653438	0.0083	PHF14	GSE35574_CasevsControl
ILMN_1653443	ILMN_1653443	0.00043	CDK2	GSE35574_CasevsControl
ILMN_1653444	ILMN_1653444	5e-05	RPL22	GSE35574_CasevsControl
ILMN_1653469	ILMN_1653469	0.00469	RPL12	GSE35574_CasevsControl
ILMN_1653496	ILMN_1653496	0.00228	GLUL	GSE35574_CasevsControl
ILMN_1653501	ILMN_1653501	0	SEMA3B	GSE35574_CasevsControl
ILMN_1653515	ILMN_1653515	0.04385	NSD2	GSE35574_CasevsControl
ILMN_1653577	ILMN_1653577	0.01243	NA	GSE35574_CasevsControl
ILMN_1653601	ILMN_1653601	0.01474	TLK2	GSE35574_CasevsControl
ILMN_1653609	ILMN_1653609	0.00047	NA	GSE35574_CasevsControl
ILMN_1653646	ILMN_1653646	0.00018	UBL7	GSE35574_CasevsControl
ILMN_1653667	ILMN_1653667	0.00867	TBX1	GSE35574_CasevsControl
ILMN_1653704	ILMN_1653704	0.00475	IL9	GSE35574_CasevsControl
ILMN_1653718	ILMN_1653718	0.0236	ZFAND2B	GSE35574_CasevsControl
ILMN_1653738	ILMN_1653738	0.00075	NA	GSE35574_CasevsControl
ILMN_1653751	ILMN_1653751	0.04823	HOPX	GSE35574_CasevsControl
ILMN_1653774	ILMN_1653774	0.00087	RNF215	GSE35574_CasevsControl
ILMN_1653793	ILMN_1653793	0.00115	PDPK1	GSE35574_CasevsControl
ILMN_1653814	ILMN_1653814	0.02594	HBBP1	GSE35574_CasevsControl
ILMN_1653828	ILMN_1653828	0.02849	CHFR	GSE35574_CasevsControl
ILMN_1653829	ILMN_1653829	0.0416	C15orf62	GSE35574_CasevsControl
ILMN_1653834	ILMN_1653834	0.03869	OGFOD1	GSE35574_CasevsControl
ILMN_1653933	ILMN_1653933	2e-05	ABCB6	GSE35574_CasevsControl
ILMN_1654037	ILMN_1654037	6e-05	PPIE	GSE35574_CasevsControl
ILMN_1654060	ILMN_1654060	0.04808	MKNK2	GSE35574_CasevsControl
ILMN_1654063	ILMN_1654063	0.02314	HYDIN	GSE35574_CasevsControl
ILMN_1654064	ILMN_1654064	0.02951	EPB41L5	GSE35574_CasevsControl
ILMN_1654072	ILMN_1654072	0.00258	CX3CL1	GSE35574_CasevsControl
ILMN_1654108	ILMN_1654108	0.02187	NA	GSE35574_CasevsControl
ILMN_1654109	ILMN_1654109	0.00985	EGFLAM	GSE35574_CasevsControl
ILMN_1654151	ILMN_1654151	0.00419	COX6C	GSE35574_CasevsControl
ILMN_1654194	ILMN_1654194	0.00519	AAGAB	GSE35574_CasevsControl
ILMN_1654262	ILMN_1654262	4e-05	ZMAT3	GSE35574_CasevsControl
ILMN_1654268	ILMN_1654268	0.001	HMGB2	GSE35574_CasevsControl
ILMN_1654322	ILMN_1654322	0.00015	ATP1B3	GSE35574_CasevsControl
ILMN_1654324	ILMN_1654324	0.00502	HEYL	GSE35574_CasevsControl
ILMN_1654340	ILMN_1654340	0.02642	NA	GSE35574_CasevsControl
ILMN_1654369	ILMN_1654369	0.03649	NA	GSE35574_CasevsControl
ILMN_1654396	ILMN_1654396	0.0143	ITGB2	GSE35574_CasevsControl
ILMN_1654398	ILMN_1654398	0.00046	RGL1	GSE35574_CasevsControl
ILMN_1654414	ILMN_1654414	0.03219	ACSL3	GSE35574_CasevsControl
ILMN_1654465	ILMN_1654465	0.00025	GPI	GSE35574_CasevsControl
ILMN_1654466	ILMN_1654466	0.00841	PLAC4	GSE35574_CasevsControl
ILMN_1654468	ILMN_1654468	0.01878	ACRV1	GSE35574_CasevsControl
ILMN_1654481	ILMN_1654481	0.0362	NA	GSE35574_CasevsControl
ILMN_1654516	ILMN_1654516	0.04742	TMEM120A	GSE35574_CasevsControl
ILMN_1654518	ILMN_1654518	0.00169	SAP25	GSE35574_CasevsControl
ILMN_1654552	ILMN_1654552	0.00092	MRPS31	GSE35574_CasevsControl
ILMN_1654560	ILMN_1654560	0.01392	NA	GSE35574_CasevsControl
ILMN_1654561	ILMN_1654561	0.00288	KHDRBS1	GSE35574_CasevsControl
ILMN_1654563	ILMN_1654563	0.00721	EFNB1	GSE35574_CasevsControl
ILMN_1654566	ILMN_1654566	0.00589	HSPA1L	GSE35574_CasevsControl
ILMN_1654583	ILMN_1654583	0.03123	CHD1	GSE35574_CasevsControl
ILMN_1654612	ILMN_1654612	0.01425	ZNF589	GSE35574_CasevsControl
ILMN_1654628	ILMN_1654628	0.00049	LSM14A	GSE35574_CasevsControl
ILMN_1654630	ILMN_1654630	0.01002	FAM193B	GSE35574_CasevsControl
ILMN_1654645	ILMN_1654645	0.00622	RPS6KA3	GSE35574_CasevsControl
ILMN_1654685	ILMN_1654685	0.00654	MCTP1	GSE35574_CasevsControl
ILMN_1654732	ILMN_1654732	0.00183	OSR2	GSE35574_CasevsControl
