probe	pvalue	adj.pvalue	symbol	entrez	group
ILMN_3275936	0.00132	0.640003	LOC100133277	NA	GSE30186_PEvC
ILMN_3236650	0.00133	0.640003	SNORD47	26802	GSE30186_PEvC
ILMN_1659370	0.00134	0.640003	LOC391013	NA	GSE30186_PEvC
ILMN_1676067	0.00136	0.640003	SEMA3G	56920	GSE30186_PEvC
ILMN_1785252	0.00136	0.640003	SLC26A6	65010	GSE30186_PEvC
ILMN_1653591	0.00138	0.643127	TRIM40	135644	GSE30186_PEvC
ILMN_1810418	0.00146	0.670717	LBR	3930	GSE30186_PEvC
ILMN_1726693	0.00154	0.690607	GTF2H1	2965	GSE30186_PEvC
ILMN_3233993	0.00155	0.690607	LOC727895	NA	GSE30186_PEvC
ILMN_1663813	0.00158	0.690607	LOC344741	NA	GSE30186_PEvC
ILMN_1715407	0.00158	0.690607	LOC644404	NA	GSE30186_PEvC
ILMN_1728102	0.00162	0.690607	LOC648629	NA	GSE30186_PEvC
ILMN_1699887	0.00162	0.690607	ST14	6768	GSE30186_PEvC
ILMN_1800130	0.00168	0.690607	ETNK2	55224	GSE30186_PEvC
ILMN_1739794	0.0017	0.690607	CD3E	916	GSE30186_PEvC
ILMN_1768071	0.00171	0.690607	C2orf50	130813	GSE30186_PEvC
ILMN_1674703	0.00171	0.690607	UBE1DC1	NA	GSE30186_PEvC
ILMN_2139816	0.00172	0.690607	GPSM2	29899	GSE30186_PEvC
ILMN_2214997	0.00172	0.690607	LRRFIP1	9208	GSE30186_PEvC
ILMN_1747285	0.00174	0.690607	HFM1	164045	GSE30186_PEvC
ILMN_1651567	0.00174	0.690607	WHSC1	NA	GSE30186_PEvC
ILMN_1711109	0.00175	0.690607	TOM1L2	146691	GSE30186_PEvC
ILMN_2104295	0.00183	0.690607	TMEM178	NA	GSE30186_PEvC
ILMN_2297196	0.00187	0.690607	LRRC4B	94030	GSE30186_PEvC
ILMN_1814393	0.00187	0.690607	PARG	8505	GSE30186_PEvC
ILMN_1888570	0.00189	0.690607	NA	NA	GSE30186_PEvC
ILMN_1716368	0.0019	0.690607	CCDC111	NA	GSE30186_PEvC
ILMN_3213185	0.00191	0.690607	LOC645452	NA	GSE30186_PEvC
ILMN_3220840	0.00194	0.690607	LOC729153	NA	GSE30186_PEvC
ILMN_3309774	0.00197	0.690607	MIR324	442898	GSE30186_PEvC
ILMN_1802252	0.002	0.690607	GAPDH	2597	GSE30186_PEvC
ILMN_1746578	0.00201	0.690607	SLC23A2	9962	GSE30186_PEvC
ILMN_1819258	0.00202	0.690607	NA	NA	GSE30186_PEvC
ILMN_3237404	0.00203	0.690607	LOC100132585	NA	GSE30186_PEvC
ILMN_1733930	0.00203	0.690607	PREB	10113	GSE30186_PEvC
ILMN_1666715	0.00203	0.690607	WHSC1L1	NA	GSE30186_PEvC
ILMN_3265147	0.00204	0.690607	LOC100128398	100128398	GSE30186_PEvC
ILMN_1680963	0.00205	0.690607	C11orf34	NA	GSE30186_PEvC
ILMN_3246209	0.00206	0.690607	SCARNA10	692148	GSE30186_PEvC
ILMN_3178284	0.00209	0.690607	LOC100130079	NA	GSE30186_PEvC
ILMN_1786163	0.0021	0.690607	LOC652644	NA	GSE30186_PEvC
ILMN_1716272	0.00211	0.690607	KBTBD8	84541	GSE30186_PEvC
ILMN_1702613	0.00214	0.690607	FLJ43987	NA	GSE30186_PEvC
ILMN_3207821	0.00215	0.690607	FAM159B	100132916	GSE30186_PEvC
ILMN_1683939	0.00215	0.690607	VIPR2	7434	GSE30186_PEvC
ILMN_2081673	0.00218	0.690607	INSL6	11172	GSE30186_PEvC
ILMN_2051373	0.00219	0.690607	NEK2	4751	GSE30186_PEvC
ILMN_2414135	0.00224	0.690607	PLP1	5354	GSE30186_PEvC
ILMN_3181480	0.00226	0.690607	FLJ36131	NA	GSE30186_PEvC
ILMN_1815690	0.00228	0.690607	TIE1	7075	GSE30186_PEvC
ILMN_1659077	0.00229	0.690607	CD40LG	959	GSE30186_PEvC
ILMN_2150294	0.00229	0.690607	FKBP14	55033	GSE30186_PEvC
ILMN_3245380	0.00231	0.690607	ZNF860	344787	GSE30186_PEvC
ILMN_1683607	0.00234	0.690607	CYP1A2	1544	GSE30186_PEvC
ILMN_1739582	0.00236	0.690607	HOXA9	3205	GSE30186_PEvC
ILMN_1663454	0.00237	0.690607	PKP1	5317	GSE30186_PEvC
ILMN_2261416	0.00238	0.690607	CD3D	915	GSE30186_PEvC
ILMN_2189668	0.0024	0.690607	NUDT11	55190	GSE30186_PEvC
ILMN_1723287	0.0024	0.690607	SLC6A16	28968	GSE30186_PEvC
ILMN_3195497	0.00241	0.690607	LOC100128309	NA	GSE30186_PEvC
ILMN_1738858	0.00243	0.690607	LOC131055	131055	GSE30186_PEvC
ILMN_2354855	0.00245	0.690607	OTUB1	55611	GSE30186_PEvC
ILMN_2279834	0.00246	0.690607	ZNF483	158399	GSE30186_PEvC
ILMN_1860760	0.00246	0.690607	NA	NA	GSE30186_PEvC
ILMN_1900734	0.00246	0.690607	NA	NA	GSE30186_PEvC
ILMN_1777759	0.00249	0.690607	LOC401720	NA	GSE30186_PEvC
ILMN_1697160	0.00249	0.690607	TTC7A	57217	GSE30186_PEvC
ILMN_1728999	0.00253	0.690607	LOC730273	NA	GSE30186_PEvC
