probe	pvalue	adj.pvalue	symbol	entrez	group
A_21_P0000870	0	0.000761	1/2-SBSRNA4	NA	GSE74341_LOvC
A_23_P80570	0	0.002353	AADAC	13	GSE74341_LOvC
A_23_P91970	0	0.00439	AADACL2	344752	GSE74341_LOvC
ens|ENST00000367596|tc|THC2526086	0	0.004179	AIG1	51390	GSE74341_LOvC
A_24_P73577	0	0.000376	ALDH1A2	8854	GSE74341_LOvC
A_33_P3394833	0	0.00439	C3orf72	NA	GSE74341_LOvC
A_23_P204879	0	0.003767	CAB39L	81617	GSE74341_LOvC
A_24_P56363	0	0.000178	CAB39L	81617	GSE74341_LOvC
A_23_P159893	0	0.000376	CHRDL1	91851	GSE74341_LOvC
A_21_P0000096	0	0.00439	CPXM1	56265	GSE74341_LOvC
A_23_P6066	0	0.005402	CPXM1	56265	GSE74341_LOvC
A_24_P892472	0	0.002491	EMX2OS	196047	GSE74341_LOvC
A_23_P110052	0	0.001211	FOXL2	668	GSE74341_LOvC
A_33_P3210218	0	0.003488	GALNT1	2589	GSE74341_LOvC
A_23_P216080	0	0.001189	HOOK3	84376	GSE74341_LOvC
A_23_P139912	0	0.003676	IGFBP6	3489	GSE74341_LOvC
A_24_P759477	0	0.004065	ITGB8	3696	GSE74341_LOvC
A_21_P0014681	0	0.004576	LOC100506530	NA	GSE74341_LOvC
A_19_P00322339	0	0.002307	LOC100507127	NA	GSE74341_LOvC
A_21_P0006829	0	0.004065	LOC100507127	NA	GSE74341_LOvC
A_32_P190303	0	0.005097	LONRF2	164832	GSE74341_LOvC
A_33_P3315519	0	0.002353	LONRF2	164832	GSE74341_LOvC
A_33_P3221129	0	0.002353	LRRN4CL	221091	GSE74341_LOvC
A_33_P3221723	0	0.00439	MGAT4C	25834	GSE74341_LOvC
A_23_P15832	0	0.003619	OR1D5	8386	GSE74341_LOvC
ens|ENST00000417112|tc|THC2657193|linc|TCONS_00017779	0	0.003556	P01115	NA	GSE74341_LOvC
A_23_P326691	0	0.003619	RBBP4	5928	GSE74341_LOvC
A_33_P3235856	0	0.000376	RORB	6096	GSE74341_LOvC
A_23_P5370	0	0.002353	RPRM	56475	GSE74341_LOvC
A_23_P1206	0	0.002426	RPS24	6229	GSE74341_LOvC
A_23_P135914	0	0.00381	SF3B3	23450	GSE74341_LOvC
A_33_P3316118	0	0.001334	SNAP91	9892	GSE74341_LOvC
A_33_P3214948	0	0.002353	SPOCK2	9806	GSE74341_LOvC
A_23_P104734	0	4.50E-05	STT3A	3703	GSE74341_LOvC
A_23_P500614	0	0.004106	TNFRSF8	943	GSE74341_LOvC
A_23_P105873	0	0.002353	TRPC4	7223	GSE74341_LOvC
A_23_P132956	0	0.000376	UCHL1	7345	GSE74341_LOvC
A_23_P116280	0	0.002353	WT1	7490	GSE74341_LOvC
A_23_P337689	0	0.00439	WT1-AS	51352	GSE74341_LOvC
A_33_P3231187	0	0.000818	XIAP	331	GSE74341_LOvC
linc|TCONS_00016040	0	0.002609	XLOC_007437	NA	GSE74341_LOvC
ens|ENST00000436872|linc|TCONS_00021569	0	0.004333	XLOC_010434	NA	GSE74341_LOvC
linc|TCONS_00026598	0	0.001189	XLOC_012624	NA	GSE74341_LOvC
A_24_P194730	0	0.003299	ZSCAN22	342945	GSE74341_LOvC
ens|ENST00000449573|ens|ENST00000457921|tc|THC2532253|tc|THC2534217	0	0.000818	NA	NA	GSE74341_LOvC
A_21_P0013192	1.00E-05	0.005659	7-Sep	989	GSE74341_LOvC
A_23_P97123	1.00E-05	0.005402	ANKRD36BP1	84832	GSE74341_LOvC
A_23_P61127	1.00E-05	0.005402	APOO	79135	GSE74341_LOvC
A_32_P74409	1.00E-05	0.007591	C11orf96	387763	GSE74341_LOvC
ens|ENST00000440612|ens|ENST00000402550	1.00E-05	0.007859	CGREF1	10669	GSE74341_LOvC
A_24_P168925	1.00E-05	0.006114	CHRDL1	91851	GSE74341_LOvC
A_32_P196047	1.00E-05	0.009327	DPY19L4	286148	GSE74341_LOvC
A_33_P3233871	1.00E-05	0.005975	F12	2161	GSE74341_LOvC
A_33_P3377519	1.00E-05	0.010272	HOXA6	3203	GSE74341_LOvC
A_33_P3390048	1.00E-05	0.005402	INO80E	283899	GSE74341_LOvC
A_23_P126757	1.00E-05	0.010444	INTS3	65123	GSE74341_LOvC
A_32_P37867	1.00E-05	0.006114	KIAA1644	85352	GSE74341_LOvC
A_21_P0008640	1.00E-05	0.007519	LOC100506530	NA	GSE74341_LOvC
A_33_P3253634	1.00E-05	0.008275	LOC390660	NA	GSE74341_LOvC
A_19_P00321264	1.00E-05	0.005402	LOC550112	NA	GSE74341_LOvC
A_23_P85015	1.00E-05	0.006761	MAOB	4129	GSE74341_LOvC
tc|THC2648133	1.00E-05	0.00694	P39195	NA	GSE74341_LOvC
A_23_P27894	1.00E-05	0.006114	SAFB2	9667	GSE74341_LOvC
A_23_P94103	1.00E-05	0.00694	SCARA5	286133	GSE74341_LOvC
A_23_P25475	1.00E-05	0.005402	SOAT2	8435	GSE74341_LOvC
A_23_P154605	1.00E-05	0.005402	SULF2	55959	GSE74341_LOvC
A_23_P70127	1.00E-05	0.009975	TMED9	54732	GSE74341_LOvC
A_33_P3415698	1.00E-05	0.007193	TMIGD2	126259	GSE74341_LOvC
