A	Coef.EOvsC	Coef.LOvsC	t.EOvsC	t.LOvsC	p.value.EOvsC	p.value.LOvsC	p.value.adj.EOvsC	p.value.adj.LOvsC	F	F.p.value	Res.EOvsC	Res.LOvsC	Genes.ProbeID	Genes.EntrezGeneID	Genes.GeneSymbol
-0.28	-0.441	-0.237	-1.89	-1.02	0.08043	0.32674	0.393575	0.846708	1.79	0.20473	0	0	NA	NA	NA
0.03	0.448	-0.007	1.83	-0.03	0.09029	0.97823	0.410837	0.997235	2.45	0.12382	0	0	NA	NA	NA
0.03	-0.431	-0.249	-1.21	-0.7	0.24888	0.49812	0.598085	0.907549	0.73	0.50133	0	0	NA	NA	NA
0.03	0.008	-0.048	0.09	-0.56	0.93188	0.58491	0.979005	0.927272	0.27	0.76648	0	0	NA	NA	NA
0.13	-0.097	-0.038	-0.76	-0.3	0.45781	0.77129	0.756987	0.965039	0.3	0.74267	0	0	NA	NA	NA
-0.25	-0.492	-0.292	-2.31	-1.37	0.03778	0.19381	0.297588	0.784658	2.67	0.10629	0	0	NA	NA	NA
-0.26	0.095	0.073	0.41	0.31	0.69092	0.75812	0.885014	0.962809	0.09	0.91606	0	0	NA	NA	NA
-0.18	-0.059	-0.12	-0.34	-0.68	0.74253	0.50697	0.910119	0.910541	0.23	0.79463	0	0	NA	NA	NA
0.08	0.58	0.732	2.04	2.58	0.06148	0.02258	0.356797	0.623532	3.59	0.05652	0	0	NA	NA	NA
-0.01	-0.092	-0.03	-0.9	-0.29	0.38397	0.77295	0.705331	0.965162	0.44	0.65559	0	0	NA	NA	NA
-0.12	-0.061	0.082	-0.24	0.33	0.81168	0.74754	0.937282	0.961057	0.19	0.83318	0	0	NA	NA	NA
0.25	0.107	0.58	0.31	1.66	0.76351	0.11972	0.917725	0.752727	1.66	0.22763	0	0	NA	NA	NA
0.18	-0.178	0.247	-1.64	2.28	0.12441	0.03955	0.462922	0.669048	8.72	0.00381	0	0	NA	NA	NA
-0.03	-0.387	-0.152	-2.55	-1.01	0.02383	0.33285	0.258171	0.849389	3.38	0.06524	0	0	NA	NA	NA
-0.12	-0.31	-0.061	-1.21	-0.24	0.2466	0.81586	0.596387	0.973033	0.87	0.44074	0	0	NA	NA	NA
-0.46	-0.497	-0.315	-1.33	-0.85	0.20499	0.41254	0.555854	0.88073	0.9	0.43138	0	0	NA	NA	NA
-0.07	-0.26	-0.253	-1.09	-1.06	0.29428	0.3075	0.636993	0.840481	0.75	0.4933	0	0	NA	NA	NA
0.1	0.441	0.481	1.63	1.77	0.12762	0.09967	0.466311	0.735109	1.86	0.19337	0	0	NA	NA	NA
-0.07	-0.191	-0.028	-1.66	-0.24	0.12088	0.81057	0.458465	0.971987	1.7	0.21942	0	0	NA	NA	NA
0.11	-0.074	-0.079	-0.41	-0.44	0.68737	0.66839	0.883322	0.945733	0.12	0.89106	0	0	NA	NA	NA
0.01	-0.646	-0.028	-2.26	-0.1	0.04116	0.92301	0.307371	0.989193	3.53	0.05914	0	0	NA	NA	NA
0.38	-0.01	0.14	-0.04	0.61	0.96732	0.55357	0.9908	0.918548	0.29	0.75374	0	0	NA	NA	NA
0.21	0.474	0.329	3.52	2.44	0.00365	0.02928	0.140277	0.642597	6.37	0.0115	0	0	NA	NA	NA
0.04	0.411	-0.04	3.43	-0.33	0.00438	0.74351	0.148295	0.960634	9.49	0.00275	0	0	NA	NA	NA
-0.24	0.033	0.273	0.05	0.41	0.96074	0.68645	0.988725	0.948815	0.11	0.89812	0	0	NA	NA	NA
-0.02	0.373	0.296	1.32	1.05	0.20758	0.31272	0.557868	0.842103	0.95	0.41202	0	0	NA	NA	NA
-0.01	-0.04	0.087	-0.35	0.77	0.72971	0.45595	0.904118	0.895991	0.73	0.49831	0	0	NA	NA	NA
0.43	0.777	0.512	2.71	1.78	0.0177	0.09771	0.235253	0.732531	3.72	0.05222	0	0	NA	NA	NA
0.09	0.114	-0.004	0.94	-0.03	0.36341	0.97345	0.692531	0.996562	0.67	0.52956	0	0	NA	NA	NA
-0.11	-0.254	-0.152	-2.47	-1.48	0.0279	0.16182	0.270014	0.770308	3.05	0.08105	0	0	NA	NA	NA
0.04	-0.075	-0.186	-0.45	-1.1	0.66293	0.29017	0.871938	0.833151	0.63	0.54937	0	0	NA	NA	NA
0.04	-0.258	-0.057	-2.46	-0.54	0.02836	0.59551	0.27125	0.929322	3.51	0.05962	0	0	NA	NA	NA
0.08	-0.344	0.322	-1.77	1.65	0.09996	0.12178	0.428307	0.754485	6.59	0.0103	0	0	NA	NA	NA
0.02	0.09	0.123	0.7	0.96	0.49345	0.3533	0.779188	0.85708	0.48	0.62709	0	0	NA	NA	NA
-0.41	-0.225	-0.036	-1.11	-0.18	0.2855	0.86069	0.62936	0.979878	0.76	0.48747	0	0	NA	NA	NA
0.06	0.465	0.264	2.89	1.64	0.01253	0.1242	0.211055	0.755207	4.16	0.03947	0	0	NA	NA	NA
0.22	0.237	0.329	0.91	1.26	0.38041	0.22961	0.703495	0.802213	0.82	0.45986	0	0	NA	NA	NA
0.01	-0.489	0.473	-2.44	2.36	0.02944	0.0342	0.274727	0.65322	12.96	0.00076	0	0	NA	NA	NA
-0.18	-0.281	-0.187	-1.57	-1.04	0.14087	0.31671	0.482903	0.842956	1.25	0.31891	0	0	NA	NA	NA
-0.21	-0.059	-0.039	-0.29	-0.19	0.77776	0.85144	0.924269	0.978199	0.04	0.95883	0	0	NA	NA	NA
0.3	0.395	0.167	3.25	1.37	0.00622	0.19301	0.165565	0.784131	5.4	0.01919	0	0	NA	NA	NA
0.04	0.053	-0.002	0.36	-0.01	0.72094	0.98989	0.899923	0.999143	0.1	0.90533	0	0	NA	NA	NA
0.24	-0.024	-0.193	-0.19	-1.47	0.85518	0.16447	0.953192	0.772081	1.37	0.28758	0	0	NA	NA	NA
-0.23	-0.272	0.242	-1.02	0.9	0.32686	0.38166	0.663762	0.868977	2.08	0.16351	0	0	NA	NA	NA
-0.08	0.101	0.062	1.14	0.7	0.27626	0.4973	0.622826	0.907065	0.65	0.53892	0	0	NA	NA	NA
-0.3	-0.694	-0.542	-3.61	-2.82	0.00307	0.01418	0.132638	0.583794	7	0.0084	0	0	NA	NA	NA
0.52	0.571	0.198	1.45	0.5	0.17005	0.62339	0.518961	0.935471	1.12	0.35557	0	0	NA	NA	NA
-0.39	-0.526	-0.065	-1.98	-0.24	0.0691	0.81173	0.372617	0.97212	2.49	0.12112	0	0	NA	NA	NA
-0.23	-0.666	-0.049	-2	-0.15	0.06609	0.88561	0.366854	0.984193	2.68	0.1053	0	0	NA	NA	NA
0.06	-0.038	-0.124	-0.28	-0.91	0.78295	0.37715	0.926152	0.866842	0.45	0.64425	0	0	NA	NA	NA
-0.21	0.032	0.193	0.15	0.87	0.88634	0.40173	0.963244	0.87787	0.46	0.643	0	0	NA	NA	NA
-0.04	-0.194	-0.102	-1.25	-0.65	0.23462	0.52612	0.585054	0.913555	0.78	0.47989	0	0	NA	NA	NA
-0.22	0.038	0.204	0.19	1.03	0.85214	0.32287	0.952165	0.846068	0.63	0.54691	0	0	NA	NA	NA
0.07	-0.178	-0.133	-1.52	-1.13	0.15219	0.2773	0.497019	0.828183	1.21	0.32789	0	0	NA	NA	NA
0.19	-0.032	-0.011	-0.34	-0.12	0.74126	0.90666	0.909626	0.986711	0.06	0.94186	0	0	NA	NA	NA
0.02	0.159	0.041	0.86	0.22	0.40543	0.82659	0.72194	0.974541	0.42	0.6681	0	0	NA	NA	NA
-0.27	0.322	0.281	1.98	1.73	0.0691	0.10719	0.372617	0.741352	2.24	0.14492	0	0	NA	NA	NA
0.06	0.055	-0.002	0.66	-0.02	0.52296	0.98179	0.797382	0.997748	0.32	0.72882	0	0	NA	NA	NA
-0.43	0.626	0.783	2.69	3.36	0.01826	0.00494	0.236278	0.546335	6.15	0.01288	0	0	NA	NA	NA
0.06	0.049	0.024	0.49	0.24	0.63226	0.81549	0.855586	0.972989	0.12	0.88718	0	0	NA	NA	NA
0	0.266	0.433	0.93	1.51	0.36922	0.15337	0.696746	0.765234	1.15	0.34559	0	0	NA	NA	NA
0.01	0.335	0.191	2.09	1.19	0.0568	0.25457	0.346854	0.816193	2.18	0.1522	0	0	NA	NA	NA
0.4	0.211	0.682	0.65	2.11	0.5255	0.05477	0.799417	0.698154	2.41	0.12778	0	0	NA	NA	NA
-0.15	-0.116	-0.013	-1.07	-0.12	0.30489	0.90649	0.645977	0.986711	0.73	0.49965	0	0	NA	NA	NA
-0.05	-0.553	-0.39	-1.96	-1.38	0.07159	0.18978	0.377836	0.782934	1.98	0.17687	0	0	NA	NA	NA
0.06	-0.014	0.045	-0.14	0.45	0.89045	0.65949	0.964924	0.944038	0.21	0.81165	0	0	NA	NA	NA
0	-0.018	-0.028	-0.11	-0.17	0.91449	0.86703	0.972668	0.981248	0.01	0.9854	0	0	NA	NA	NA
-0.21	-0.349	-0.061	-2.21	-0.39	0.04486	0.7057	0.317597	0.953267	2.97	0.08602	0	0	NA	NA	NA
-0.24	-0.719	-0.286	-3.51	-1.4	0.00372	0.18582	0.142026	0.780642	6.39	0.01139	0	0	NA	NA	NA
0.11	-0.525	0.002	-1.84	0.01	0.08813	0.99366	0.405695	0.999327	2.46	0.12317	0	0	NA	NA	NA
0.03	-0.072	-0.025	-0.47	-0.17	0.64431	0.86943	0.861884	0.981799	0.12	0.88954	0	0	NA	NA	NA
0	-0.226	-0.101	-2.2	-0.99	0.04575	0.34151	0.320469	0.853312	2.47	0.12249	0	0	NA	NA	NA
-0.15	-0.37	-0.205	-2.14	-1.19	0.05107	0.25591	0.334741	0.816374	2.3	0.1389	0	0	NA	NA	NA
0.4	-0.182	0.145	-0.63	0.5	0.5406	0.62618	0.807884	0.9361	0.72	0.50627	0	0	NA	NA	NA
-0.2	0.276	0.057	0.68	0.14	0.5093	0.89047	0.788786	0.985051	0.27	0.76719	0	0	NA	NA	NA
0.1	0.963	0.034	2.1	0.07	0.05568	0.94172	0.344571	0.991852	3.06	0.08081	0	0	NA	NA	NA
-0.15	0.591	0.159	1.5	0.4	0.15584	0.69279	0.502715	0.950277	1.27	0.31364	0	0	NA	NA	NA
0.29	0.356	-0.358	0.81	-0.82	0.4296	0.42704	0.737726	0.886065	1.5	0.25819	0	0	NA	NA	NA
0.2	0.805	0.439	1.69	0.92	0.11478	0.37431	0.451205	0.865616	1.42	0.27509	0	0	NA	NA	NA
0.07	0.439	0.314	0.66	0.47	0.52277	0.64613	0.797243	0.941611	0.22	0.80272	0	0	NA	NA	NA
-0.04	-0.099	-0.346	-0.59	-2.06	0.5656	0.05951	0.82031	0.70261	2.35	0.13414	0	0	NA	NA	NA
0.13	-0.766	-1.002	-1.09	-1.43	0.29471	0.17641	0.637237	0.77693	1.08	0.36653	0	0	NA	NA	NA
0.26	0.185	-0.145	0.69	-0.54	0.50227	0.59661	0.785149	0.929721	0.86	0.44654	0	0	NA	NA	NA
-0.04	-0.028	-0.42	-0.11	-1.68	0.91189	0.11712	0.971921	0.749615	1.89	0.18973	0	0	NA	NA	NA
0.09	-0.221	-0.256	-0.98	-1.14	0.34271	0.27413	0.675816	0.825681	0.74	0.49608	0	0	NA	NA	NA
-0.63	-0.56	0.031	-0.93	0.05	0.36954	0.95999	0.696949	0.995039	0.66	0.53106	0	0	NA	NA	NA
0.15	-0.267	-0.18	-0.62	-0.42	0.54261	0.68008	0.809077	0.947802	0.2	0.82173	0	0	NA	NA	NA
-0.12	-0.146	-0.156	-1.1	-1.17	0.29155	0.26224	0.634883	0.818874	0.83	0.45724	0	0	NA	NA	NA
0.05	0.18	0.232	0.42	0.54	0.68405	0.60084	0.881709	0.931216	0.15	0.85899	0	0	NA	NA	NA
0.02	0.502	0.396	1.37	1.08	0.19261	0.2978	0.543603	0.836632	1.02	0.38833	0	0	NA	NA	NA
0.13	-0.271	-0.379	-0.62	-0.87	0.54377	0.40005	0.809936	0.876968	0.39	0.68317	0	0	NA	NA	NA
0.18	-0.043	0.261	-0.1	0.62	0.92121	0.54755	0.97537	0.916814	0.33	0.72271	0	0	NA	NA	NA
0.12	0.938	0.639	2.14	1.45	0.05191	0.16932	0.336038	0.772431	2.33	0.13558	0	0	NA	NA	NA
0.12	0.38	0.969	0.68	1.73	0.50858	0.10635	0.788481	0.741099	1.56	0.24659	0	0	NA	NA	NA
0.07	0.315	0.148	2.04	0.96	0.06136	0.35377	0.356793	0.85708	2.11	0.16006	0	0	NA	NA	NA
0.13	0.268	-0.052	1.35	-0.26	0.19964	0.79702	0.550777	0.968444	1.65	0.22869	0	0	NA	NA	NA
0.03	-0.29	-0.131	-1.82	-0.82	0.0913	0.42647	0.412789	0.886065	1.68	0.22307	0	0	NA	NA	NA
-0.26	-0.71	-0.71	-2.61	-2.61	0.02127	0.02126	0.247829	0.623532	4.38	0.03457	0	0	NA	NA	NA
0.19	-0.053	0.677	-0.08	1.08	0.9346	0.30015	0.979754	0.837765	0.92	0.42314	0	0	NA	NA	NA
0.08	-0.076	0.031	-0.59	0.24	0.56401	0.81512	0.819472	0.972941	0.41	0.67321	0	0	NA	NA	NA
0.33	0.225	0.99	0.48	2.13	0.63665	0.05261	0.857988	0.695363	2.62	0.11007	0	0	NA	NA	NA
0.29	0.434	0.069	1.18	0.19	0.25702	0.85415	0.60446	0.978611	0.86	0.44483	0	0	NA	NA	NA
0.05	0.364	0.081	1.94	0.43	0.07334	0.67145	0.381356	0.946177	2.19	0.15037	0	0	NA	NA	NA
0.1	0.759	0.141	2.67	0.5	0.01903	0.62728	0.239079	0.936265	4.26	0.03714	0	0	NA	NA	NA
-0.01	0.317	0.126	1.82	0.73	0.09105	0.48085	0.41258	0.903786	1.72	0.21677	0	0	NA	NA	NA
-0.2	-0.072	-0.153	-0.55	-1.16	0.59353	0.26833	0.83527	0.821895	0.67	0.52632	0	0	NA	NA	NA
-0.19	0.481	0.396	1.34	1.1	0.20429	0.29113	0.55503	0.833386	0.98	0.39958	0	0	NA	NA	NA
0.23	0.894	0.645	1.45	1.05	0.17091	0.31462	0.519725	0.842414	1.09	0.36456	0	0	NA	NA	NA
0.15	0.353	0.181	2.16	1.11	0.04952	0.28624	0.330706	0.832039	2.34	0.13466	0	0	NA	NA	NA
-0.43	-0.2	-0.053	-0.6	-0.16	0.55806	0.87663	0.816955	0.982873	0.2	0.81893	0	0	NA	NA	NA
-0.81	-0.253	0.977	-0.41	1.58	0.68827	0.13718	0.88383	0.759282	2.45	0.124	0	0	NA	NA	NA
-0.14	-0.074	-0.118	-0.34	-0.54	0.73836	0.59847	0.908263	0.930527	0.15	0.86488	0	0	NA	NA	NA
-0.23	-0.142	0.211	-0.76	1.12	0.4621	0.28147	0.760031	0.830807	2.01	0.17282	0	0	NA	NA	NA
0.16	0.107	0.589	0.27	1.51	0.78904	0.155	0.928491	0.766916	1.37	0.2884	0	0	NA	NA	NA
-0.01	-0.021	0.079	-0.05	0.18	0.96296	0.85946	0.989521	0.97968	0.03	0.96853	0	0	NA	NA	NA
-0.4	0.389	0.436	1.1	1.23	0.2909	0.23876	0.634385	0.807073	0.89	0.43565	0	0	NA	NA	NA
0.03	0.23	0.156	0.73	0.49	0.47955	0.63015	0.769712	0.936679	0.27	0.76724	0	0	NA	NA	NA
0.12	-0.031	-0.101	-0.24	-0.77	0.81577	0.45217	0.938816	0.895847	0.33	0.72686	0	0	NA	NA	NA
0.32	0.414	0.19	2.24	1.03	0.04315	0.32298	0.312604	0.846068	2.53	0.11703	0	0	NA	NA	NA
0.13	-0.659	-0.536	-1.1	-0.9	0.28981	0.38569	0.633821	0.870523	0.67	0.52995	0	0	NA	NA	NA
0.38	-0.681	-0.575	-2.13	-1.8	0.05216	0.09463	0.336764	0.730728	2.55	0.11574	0	0	NA	NA	NA
0.13	-0.183	-0.479	-0.71	-1.87	0.48942	0.08422	0.777099	0.725507	1.82	0.20043	0	0	NA	NA	NA
0.37	-0.14	-0.265	-0.82	-1.56	0.42409	0.14292	0.734809	0.76084	1.21	0.32804	0	0	NA	NA	NA
0.06	0.173	0.016	1.89	0.17	0.08077	0.86515	0.394303	0.981103	2.34	0.13448	0	0	NA	NA	NA
0.08	-0.117	-0.245	-0.91	-1.91	0.37985	0.07855	0.703267	0.722358	1.83	0.19826	0	0	NA	NA	NA
0.12	-0.058	-0.191	-0.53	-1.77	0.60195	0.10051	0.839658	0.736927	1.7	0.21978	0	0	NA	NA	NA
0.16	0.184	-0.068	1.15	-0.42	0.27203	0.67837	0.618838	0.9474	1.47	0.26498	0	0	NA	NA	NA
0.22	-0.202	-0.13	-0.72	-0.46	0.48341	0.65104	0.77267	0.942191	0.26	0.77286	0	0	NA	NA	NA
0.22	0.001	-0.082	0	-0.16	0.99835	0.87721	1	0.982886	0.02	0.98198	0	0	NA	NA	NA
0.01	-0.252	-0.057	-1.18	-0.27	0.25958	0.79283	0.607232	0.967699	0.8	0.46923	0	0	NA	NA	NA
0.37	0.093	0.183	0.29	0.58	0.77373	0.57158	0.922457	0.923928	0.17	0.84643	0	0	NA	NA	NA
-0.62	-0.262	-0.454	-0.82	-1.42	0.42685	0.17886	0.736293	0.778139	1.01	0.39127	0	0	NA	NA	NA
0.16	-0.178	-0.001	-0.72	0	0.48361	0.99668	0.772884	0.999608	0.37	0.69555	0	0	NA	NA	NA
0.18	0.395	-0.057	1.58	-0.23	0.13834	0.82356	0.479814	0.974284	2.12	0.15838	0	0	NA	NA	NA
0.32	-0.288	0.165	-1.17	0.67	0.26388	0.51582	0.611813	0.911707	1.93	0.18338	0	0	NA	NA	NA
-0.21	-0.252	-0.277	-0.52	-0.57	0.61348	0.57982	0.84552	0.926111	0.19	0.82873	0	0	NA	NA	NA
-0.09	0.09	0.119	0.62	0.81	0.5477	0.42996	0.812205	0.887865	0.35	0.71034	0	0	NA	NA	NA
-0.3	0.978	0.564	2.66	1.53	0.01947	0.14863	0.240485	0.763084	3.53	0.05892	0	0	NA	NA	NA
0.05	-0.396	-0.339	-1.88	-1.61	0.08182	0.13029	0.395588	0.757719	2	0.17344	0	0	NA	NA	NA
0.08	0.642	0.228	3.28	1.16	0.0058	0.26544	0.163149	0.820148	5.7	0.01631	0	0	NA	NA	NA
-0.01	0.495	0.16	2.76	0.89	0.01593	0.3869	0.227476	0.870756	4.11	0.04087	0	0	NA	NA	NA
0.17	0.002	-0.092	0.01	-0.54	0.99199	0.60139	0.998626	0.931361	0.21	0.81197	0	0	NA	NA	NA
0.01	0.318	0.132	2.11	0.87	0.05459	0.39812	0.342337	0.876609	2.29	0.14027	0	0	NA	NA	NA
-0.04	-0.01	-0.082	-0.06	-0.53	0.94978	0.60521	0.985304	0.931811	0.18	0.83856	0	0	NA	NA	NA
0.43	0.548	0.418	1.47	1.12	0.16462	0.28181	0.512965	0.831029	1.15	0.34658	0	0	NA	NA	NA
0.1	-0.25	-0.278	-1.21	-1.34	0.24863	0.20239	0.597685	0.790938	1.05	0.37619	0	0	NA	NA	NA
0.03	0.03	-0.018	0.22	-0.13	0.8321	0.90039	0.944315	0.986176	0.07	0.93481	0	0	NA	NA	NA
-0.16	0.013	-0.008	0.07	-0.04	0.94414	0.96607	0.98336	0.995713	0.01	0.9925	0	0	NA	NA	NA
0.2	0.54	0.072	1.5	0.2	0.15636	0.84352	0.50302	0.97701	1.42	0.27636	0	0	NA	NA	NA
-0.05	-0.258	-0.114	-2.15	-0.95	0.05079	0.35975	0.334516	0.859985	2.35	0.1339	0	0	NA	NA	NA
-0.17	-0.107	-0.004	-0.55	-0.02	0.58848	0.98371	0.832674	0.998001	0.21	0.81056	0	0	NA	NA	NA
0.41	0.104	0.04	0.55	0.21	0.59102	0.83724	0.833969	0.976275	0.16	0.85516	0	0	NA	NA	NA
-0.06	-0.216	-0.58	-1.08	-2.89	0.30105	0.01251	0.643494	0.583548	4.37	0.03489	0	0	NA	NA	NA
0.24	0.572	0.787	1.52	2.09	0.15287	0.05669	0.498041	0.699186	2.27	0.14189	0	0	NA	NA	NA
0	0.072	0.102	0.49	0.7	0.63396	0.49857	0.85632	0.908014	0.25	0.78284	0	0	NA	NA	NA
0.16	0.234	-0.075	1.14	-0.37	0.27339	0.71961	0.620529	0.956701	1.38	0.28586	0	0	NA	NA	NA
0.04	-0.047	-0.01	-0.13	-0.03	0.89678	0.97776	0.967033	0.997235	0.01	0.98985	0	0	NA	NA	NA
0.01	0.476	0.308	1.97	1.28	0.06956	0.22381	0.373808	0.800162	1.97	0.17794	0	0	NA	NA	NA
-0.09	0.692	0.518	1.74	1.3	0.10565	0.21579	0.43827	0.795606	1.59	0.2407	0	0	NA	NA	NA
-0.16	-0.366	-0.291	-0.92	-0.73	0.37525	0.47808	0.700912	0.902802	0.46	0.64339	0	0	NA	NA	NA
-0.08	0.509	0.37	1.09	0.79	0.2966	0.44382	0.638685	0.892355	0.62	0.55528	0	0	NA	NA	NA
0.42	-0.463	0.588	-1.3	1.65	0.21644	0.12262	0.565705	0.755207	4.9	0.02542	0	0	NA	NA	NA
0.2	0.272	0.189	0.97	0.68	0.34852	0.51007	0.681002	0.911128	0.49	0.62573	0	0	NA	NA	NA
1.26	1.052	0.605	2.64	1.52	0.02008	0.15233	0.242534	0.765234	3.49	0.06061	0	0	NA	NA	NA
0.19	-0.055	-0.062	-0.37	-0.41	0.7192	0.68805	0.89907	0.948829	0.1	0.90708	0	0	NA	NA	NA
0.14	0.09	-0.056	0.53	-0.33	0.60606	0.74548	0.841954	0.960634	0.42	0.66427	0	0	NA	NA	NA
0.14	-0.214	-0.244	-1.69	-1.92	0.11508	0.07686	0.451286	0.718373	2.12	0.15907	0	0	NA	NA	NA
-0.05	-0.046	-0.08	-0.43	-0.74	0.67416	0.47231	0.877277	0.901468	0.27	0.76461	0	0	NA	NA	NA
0.75	0.307	0.881	0.75	2.14	0.46797	0.05109	0.763231	0.691803	2.44	0.12509	0	0	NA	NA	NA
0.1	0.167	0.409	1.12	2.74	0.28459	0.01663	0.629151	0.601115	3.87	0.0474	0	0	NA	NA	NA
0.51	1.083	0.887	2.66	2.18	0.0194	0.04806	0.240485	0.683404	3.89	0.04685	0	0	NA	NA	NA
0.05	-0.169	-0.053	-1.13	-0.35	0.27951	0.72951	0.625628	0.958192	0.69	0.5189	0	0	NA	NA	NA
0.24	0.14	-0.054	0.85	-0.33	0.41028	0.748	0.724819	0.961076	0.82	0.45961	0	0	NA	NA	NA
0.43	0.102	0.417	0.23	0.92	0.82537	0.37504	0.942329	0.865958	0.48	0.62913	0	0	NA	NA	NA
-0.22	0.585	0.552	2.03	1.92	0.06305	0.07717	0.359926	0.719061	2.51	0.11916	0	0	NA	NA	NA
-0.27	-0.02	0.187	-0.11	1.05	0.91075	0.31282	0.97149	0.842103	0.9	0.42928	0	0	NA	NA	NA
0.25	0.327	0.544	1.08	1.79	0.29949	0.0956	0.641782	0.732531	1.61	0.23576	0	0	NA	NA	NA
0.01	-0.141	0.061	-0.69	0.3	0.49916	0.76842	0.782731	0.964693	0.58	0.57229	0	0	NA	NA	NA
-0.16	0.138	0.174	0.63	0.8	0.53646	0.43764	0.805573	0.889804	0.35	0.71348	0	0	NA	NA	NA
0.06	-0.165	-0.052	-1.08	-0.34	0.3014	0.73947	0.643693	0.960536	0.63	0.54971	0	0	NA	NA	NA
-0.07	-0.42	-0.221	-3.38	-1.78	0.00477	0.09739	0.152195	0.732531	5.73	0.01607	0	0	NA	NA	NA
0.37	0.216	0.085	1.13	0.44	0.27912	0.66538	0.625182	0.944909	0.66	0.53238	0	0	NA	NA	NA
0.1	-0.353	-0.2	-2.24	-1.27	0.04284	0.22588	0.31148	0.801162	2.51	0.11912	0	0	NA	NA	NA
0.18	0.37	0.366	1.45	1.43	0.17037	0.17485	0.519198	0.775833	1.34	0.29603	0	0	NA	NA	NA
0.14	0.187	0.08	1.28	0.55	0.22086	0.59321	0.571025	0.928794	0.85	0.45132	0	0	NA	NA	NA
0.05	-0.002	-0.204	-0.01	-1.61	0.9894	0.1307	0.997837	0.757719	1.86	0.19412	0	0	NA	NA	NA
-0.15	-0.165	-0.017	-1.7	-0.18	0.11227	0.86187	0.4475	0.980116	1.87	0.19218	0	0	NA	NA	NA
-0.21	0.573	0.445	1.94	1.51	0.07353	0.1547	0.381505	0.766704	2.02	0.17129	0	0	NA	NA	NA
0.5	0.648	0.373	2.26	1.3	0.04094	0.21455	0.306899	0.795025	2.56	0.11439	0	0	NA	NA	NA
0.11	0.075	-0.028	0.68	-0.25	0.50952	0.80716	0.788992	0.971199	0.51	0.61023	0	0	NA	NA	NA
0.07	0.51	0.231	2.05	0.93	0.06069	0.37051	0.355448	0.863919	2.13	0.15731	0	0	NA	NA	NA
0	-0.122	-0.076	-1.12	-0.69	0.28212	0.49919	0.627352	0.908153	0.63	0.54671	0	0	NA	NA	NA
-0.13	-0.123	-0.408	-0.47	-1.55	0.64673	0.145	0.863276	0.760911	1.31	0.3026	0	0	NA	NA	NA
-0.46	-0.454	-0.237	-2.17	-1.13	0.04915	0.27804	0.329873	0.828702	2.35	0.13399	0	0	NA	NA	NA
0.23	-0.091	-0.125	-0.47	-0.64	0.64751	0.53293	0.863536	0.913948	0.21	0.81006	0	0	NA	NA	NA
-0.15	-0.216	-0.419	-1.03	-2	0.32174	0.06696	0.658941	0.707152	1.99	0.17475	0	0	NA	NA	NA
-0.19	-0.367	-0.172	-2.51	-1.18	0.02552	0.25848	0.262546	0.817326	3.2	0.07359	0	0	NA	NA	NA
-0.09	0.414	0.442	1.74	1.86	0.10466	0.0848	0.436787	0.725507	2.1	0.16177	0	0	NA	NA	NA
-0.1	-0.408	-0.191	-3.5	-1.64	0.00383	0.12437	0.142162	0.755207	6.18	0.0127	0	0	NA	NA	NA
0.09	-0.209	-0.126	-1.52	-0.92	0.15163	0.37643	0.495907	0.866772	1.16	0.3431	0	0	NA	NA	NA
0.06	0.239	0.209	1.51	1.32	0.15353	0.20889	0.498932	0.793738	1.31	0.30198	0	0	NA	NA	NA
-0.01	-0.312	0.009	-2.61	0.07	0.02149	0.94262	0.248607	0.992028	5.07	0.02317	0	0	NA	NA	NA
0.26	0.587	0.349	3.81	2.27	0.00208	0.04056	0.114527	0.671315	7.28	0.00732	0	0	NA	NA	NA
-0.31	0.003	-0.093	0.01	-0.48	0.9889	0.64158	0.997775	0.939887	0.17	0.84575	0	0	NA	NA	NA
0.16	-0.358	-0.523	-0.77	-1.13	0.4529	0.27831	0.754236	0.828702	0.65	0.53585	0	0	NA	NA	NA
0.36	-0.328	0.073	-0.98	0.22	0.34484	0.83128	0.67769	0.975407	0.9	0.43034	0	0	NA	NA	NA
0.01	-0.484	-0.082	-2.91	-0.5	0.01197	0.6286	0.20926	0.936412	5.14	0.02222	0	0	NA	NA	NA
0.23	0.07	-0.051	0.28	-0.21	0.78165	0.8401	0.925455	0.976683	0.14	0.87469	0	0	NA	NA	NA
0.1	-0.314	-0.213	-1.58	-1.07	0.13734	0.30271	0.478974	0.839091	1.28	0.31091	0	0	NA	NA	NA
0.01	-0.046	-0.052	-0.26	-0.3	0.79876	0.77057	0.93197	0.964908	0.05	0.95066	0	0	NA	NA	NA
0.02	-0.191	0.032	-1.25	0.21	0.23188	0.83511	0.582479	0.975734	1.38	0.28507	0	0	NA	NA	NA
0.09	0.119	0.503	0.39	1.66	0.70221	0.12096	0.891091	0.752727	1.58	0.24319	0	0	NA	NA	NA
-0.13	-0.263	-0.158	-1.9	-1.14	0.07928	0.27391	0.391651	0.825681	1.81	0.20156	0	0	NA	NA	NA
-0.02	-0.019	0.034	-0.23	0.42	0.819	0.6784	0.940278	0.9474	0.25	0.78322	0	0	NA	NA	NA
0.13	-0.141	-0.15	-0.87	-0.92	0.40166	0.37265	0.719468	0.864458	0.52	0.6083	0	0	NA	NA	NA
