A	Coef.EOvsC	Coef.LOvsC	t.EOvsC	t.LOvsC	p.value.EOvsC	p.value.LOvsC	p.value.adj.EOvsC	p.value.adj.LOvsC	F	F.p.value	Res.EOvsC	Res.LOvsC	Genes.ProbeID	Genes.EntrezGeneID	Genes.GeneSymbol
-0.03	0.606	0.359	2.33	1.38	0.03643	0.19093	0.29467	0.783235	2.71	0.10294	0	0	NA	NA	NA
-0.61	-0.762	0.29	-1.81	0.69	0.09312	0.50349	0.416804	0.909151	3.71	0.05252	0	0	NA	NA	NA
-0.36	-0.015	1.112	-0.02	1.35	0.98542	0.20026	0.996471	0.789483	1.33	0.29648	0	0	NA	NA	NA
0.04	0.105	-0.005	0.51	-0.02	0.61998	0.98254	0.848712	0.997748	0.2	0.82444	0	0	NA	NA	NA
-0.08	-0.206	0.036	-0.98	0.17	0.34381	0.86726	0.676749	0.981248	0.85	0.44847	0	0	NA	NA	NA
-0.22	0.958	0.934	1.77	1.73	0.09914	0.10703	0.426986	0.741214	1.97	0.17789	0	0	NA	NA	NA
-0.34	-0.121	-0.215	-0.18	-0.32	0.86175	0.75742	0.955708	0.962639	0.05	0.95167	0	0	NA	NA	NA
0.17	0.123	0.172	0.33	0.47	0.74404	0.64814	0.910585	0.941789	0.11	0.89403	0	0	NA	NA	NA
-0.4	-0.498	-0.085	-0.45	-0.08	0.65889	0.93975	0.869988	0.991334	0.12	0.88457	0	0	NA	NA	NA
-0.03	-0.587	0.266	-0.76	0.35	0.4582	0.73422	0.757241	0.959521	0.72	0.50389	0	0	NA	NA	NA
-0.37	-0.386	0.037	-0.58	0.06	0.57021	0.95626	0.823104	0.994231	0.27	0.76488	0	0	NA	NA	NA
0.25	-0.856	0.164	-0.82	0.16	0.42745	0.8776	0.736535	0.982989	0.61	0.56007	0	0	NA	NA	NA
-0.28	-0.395	-0.348	-1.54	-1.36	0.14748	0.19784	0.491237	0.788792	1.36	0.28909	0	0	NA	NA	NA
0	-0.888	-0.071	-1.03	-0.08	0.32131	0.93522	0.65874	0.990847	0.7	0.51218	0	0	NA	NA	NA
-0.28	-0.407	0.173	-0.56	0.24	0.5828	0.81482	0.829336	0.972849	0.38	0.69196	0	0	NA	NA	NA
0.02	-0.232	-0.192	-2.45	-2.03	0.02882	0.06265	0.272967	0.703535	3.33	0.06735	0	0	NA	NA	NA
-1.21	-0.472	-0.191	-0.71	-0.29	0.49113	0.77912	0.777978	0.966319	0.26	0.77563	0	0	NA	NA	NA
-0.06	-0.245	-0.174	-1.03	-0.73	0.31988	0.47691	0.657692	0.902249	0.55	0.58848	0	0	NA	NA	NA
0.05	-0.143	-0.066	-0.78	-0.36	0.44831	0.72278	0.750751	0.957196	0.31	0.73935	0	0	NA	NA	NA
-1.1	-0.521	-0.905	-1.95	-3.39	0.07237	0.0047	0.379419	0.546335	5.75	0.01589	0	0	NA	NA	NA
0.02	-0.655	-0.451	-1.53	-1.05	0.15053	0.31239	0.494356	0.842103	1.19	0.33365	0	0	NA	NA	NA
0.04	-0.088	-0.432	-0.32	-1.57	0.75433	0.13921	0.914473	0.759282	1.46	0.2673	0	0	NA	NA	NA
0.25	0.823	0.71	1.6	1.38	0.13322	0.1903	0.473819	0.783123	1.45	0.26853	0	0	NA	NA	NA
0.02	-0.157	-0.051	-0.55	-0.18	0.58984	0.86066	0.833163	0.979878	0.16	0.85009	0	0	NA	NA	NA
-0.83	0.704	0.327	1.27	0.59	0.2273	0.56668	0.578282	0.922136	0.81	0.46528	0	0	NA	NA	NA
-0.62	-0.243	0.113	-0.89	0.42	0.38793	0.68437	0.708228	0.948424	1	0.39422	0	0	NA	NA	NA
0.02	-1.027	-1.299	-1.19	-1.5	0.25535	0.15623	0.603572	0.767313	1.22	0.32626	0	0	NA	NA	NA
