probe	pvalue	adj.pvalue	symbol	entrez	group
A_24_P42755	0	0.018968	FLT1	2321	GSE4707_PEvC
A_23_P156049	0	0.023419	HEXB	3074	GSE4707_PEvC
A_23_P122924	0	0.015951	INHBA	3624	GSE4707_PEvC
A_24_P397817	0	0.000801	LEP	3952	GSE4707_PEvC
A_23_P46441	0	0.023419	PVRL4	NA	GSE4707_PEvC
A_23_P319520	0	0.015951	TSNARE1	203062	GSE4707_PEvC
A_23_P89145	0	0.015951	ZNF83	55769	GSE4707_PEvC
A_24_P535256	0	0.015951	NA	NA	GSE4707_PEvC
A_23_P4144	1.00E-05	0.023419	COASY	80347	GSE4707_PEvC
A_23_P130149	1.00E-05	0.023419	ENO3	2027	GSE4707_PEvC
A_24_P576191	1.00E-05	0.023419	NA	NA	GSE4707_PEvC
A_32_P31963	2.00E-05	0.060983	NA	NA	GSE4707_PEvC
A_32_P55987	2.00E-05	0.058052	NA	NA	GSE4707_PEvC
A_23_P134953	3.00E-05	0.060983	ADFP	NA	GSE4707_PEvC
A_23_P107322	3.00E-05	0.060983	CORO6	84940	GSE4707_PEvC
A_23_P43049	3.00E-05	0.060983	DCTN6	10671	GSE4707_PEvC
A_23_P119478	3.00E-05	0.060983	EBI3	10148	GSE4707_PEvC
A_23_P159775	3.00E-05	0.060983	GABRE	2564	GSE4707_PEvC
A_23_P17633	3.00E-05	0.060983	IFNAR1	3454	GSE4707_PEvC
A_23_P385938	3.00E-05	0.060983	PAN3	255967	GSE4707_PEvC
A_32_P226646	3.00E-05	0.060983	NA	NA	GSE4707_PEvC
A_32_P42367	3.00E-05	0.060983	NA	NA	GSE4707_PEvC
A_23_P87575	4.00E-05	0.060983	CCNT1	904	GSE4707_PEvC
A_23_P91619	4.00E-05	0.069307	MIF	4282	GSE4707_PEvC
A_32_P29200	4.00E-05	0.060983	NA	NA	GSE4707_PEvC
A_24_P170927	5.00E-05	0.073475	LOC644613	NA	GSE4707_PEvC
A_32_P162862	5.00E-05	0.073475	LOC644891	NA	GSE4707_PEvC
A_23_P80040	5.00E-05	0.074205	PROCR	10544	GSE4707_PEvC
A_32_P179526	5.00E-05	0.073475	ZBTB20	26137	GSE4707_PEvC
A_24_P636441	6.00E-05	0.074205	DCAKD	79877	GSE4707_PEvC
A_32_P95739	6.00E-05	0.074205	TPI1	7167	GSE4707_PEvC
A_32_P121226	6.00E-05	0.074205	NA	NA	GSE4707_PEvC
A_32_P6972	6.00E-05	0.074205	NA	NA	GSE4707_PEvC
A_23_P412526	7.00E-05	0.077221	BCAP29	55973	GSE4707_PEvC
A_23_P418485	7.00E-05	0.077221	C11orf65	160140	GSE4707_PEvC
A_32_P117354	7.00E-05	0.077221	DKFZP686A01247	NA	GSE4707_PEvC
A_23_P46470	7.00E-05	0.077221	ERRFI1	54206	GSE4707_PEvC
A_23_P55578	7.00E-05	0.077221	RIOK3	8780	GSE4707_PEvC
