probe	id	pvalue	symbol	group
ILMN_1343295	ILMN_1343295	0.00833	GAPDH	GSE30186_PEvC
ILMN_1651496	ILMN_1651496	0.04886	HIST1H2BD	GSE30186_PEvC
ILMN_1651547	ILMN_1651547	0.00821	SEMA3E	GSE30186_PEvC
ILMN_1651567	ILMN_1651567	0.00176	NA	GSE30186_PEvC
ILMN_1651900	ILMN_1651900	0.04046	KCNA4	GSE30186_PEvC
ILMN_1651913	ILMN_1651913	0.0283	NA	GSE30186_PEvC
ILMN_1652132	ILMN_1652132	0.02064	NA	GSE30186_PEvC
ILMN_1652291	ILMN_1652291	0.01518	EVX2	GSE30186_PEvC
ILMN_1652333	ILMN_1652333	0.03373	FN3KRP	GSE30186_PEvC
ILMN_1652343	ILMN_1652343	0.00866	NA	GSE30186_PEvC
ILMN_1652472	ILMN_1652472	0.00102	BRAF	GSE30186_PEvC
ILMN_1652507	ILMN_1652507	0.03215	NA	GSE30186_PEvC
ILMN_1652722	ILMN_1652722	0.04256	C14orf2	GSE30186_PEvC
ILMN_1652806	ILMN_1652806	0.02298	ATP5J	GSE30186_PEvC
ILMN_1652929	ILMN_1652929	0.0466	POGZ	GSE30186_PEvC
ILMN_1653001	ILMN_1653001	0.01126	CABLES1	GSE30186_PEvC
ILMN_1653006	ILMN_1653006	0.0186	CSN1S1	GSE30186_PEvC
ILMN_1653077	ILMN_1653077	0.03977	NA	GSE30186_PEvC
ILMN_1653142	ILMN_1653142	0.0401	NA	GSE30186_PEvC
ILMN_1653340	ILMN_1653340	0.04358	RECQL5	GSE30186_PEvC
ILMN_1653591	ILMN_1653591	0.00142	TRIM40	GSE30186_PEvC
ILMN_1653670	ILMN_1653670	0.01865	CUL3	GSE30186_PEvC
ILMN_1653711	ILMN_1653711	0.0176	FZD2	GSE30186_PEvC
ILMN_1654171	ILMN_1654171	0.04785	DHFRP3	GSE30186_PEvC
ILMN_1654320	ILMN_1654320	0.02406	NA	GSE30186_PEvC
ILMN_1654336	ILMN_1654336	0.02787	NA	GSE30186_PEvC
ILMN_1654474	ILMN_1654474	0.03008	MIR924HG	GSE30186_PEvC
ILMN_1654518	ILMN_1654518	0.0429	SAP25	GSE30186_PEvC
ILMN_1654563	ILMN_1654563	0.00133	EFNB1	GSE30186_PEvC
ILMN_1654779	ILMN_1654779	0.03374	NA	GSE30186_PEvC
ILMN_1654812	ILMN_1654812	0.0388	UNC93B1	GSE30186_PEvC
ILMN_1654858	ILMN_1654858	0.04372	NA	GSE30186_PEvC
ILMN_1655026	ILMN_1655026	0.0376	NORAD	GSE30186_PEvC
ILMN_1655068	ILMN_1655068	0.00707	TOM1L2	GSE30186_PEvC
ILMN_1655244	ILMN_1655244	0.01298	DEXI	GSE30186_PEvC
ILMN_1655387	ILMN_1655387	0.0235	PRDM16	GSE30186_PEvC
ILMN_1655408	ILMN_1655408	0.04754	PRCP	GSE30186_PEvC
ILMN_1655428	ILMN_1655428	0.00531	NA	GSE30186_PEvC
ILMN_1655789	ILMN_1655789	0.03275	LINC00668	GSE30186_PEvC
ILMN_1655796	ILMN_1655796	0.03302	MARCH3	GSE30186_PEvC
ILMN_1655884	ILMN_1655884	0.01554	ATP2A2	GSE30186_PEvC
ILMN_1655921	ILMN_1655921	0.01283	GTF2E1	GSE30186_PEvC
ILMN_1655974	ILMN_1655974	0.04543	PDE6B	GSE30186_PEvC
