probe	pvalue	adj.pvalue	symbol	entrez	group
ILMN_1743205	0	0.006624	ABCA7	10347	GSE35574_PEvC
ILMN_1704961	0	0.005541	ACTG1	71	GSE35574_PEvC
ILMN_1802627	0	0.002733	C7orf48	NA	GSE35574_PEvC
ILMN_1806056	0	0.005314	CEACAM8	1088	GSE35574_PEvC
ILMN_1715715	0	0.004105	CEBPA	1050	GSE35574_PEvC
ILMN_1665235	0	0.005223	CRTAP	10491	GSE35574_PEvC
ILMN_1792885	0	0.002117	CTSC	1075	GSE35574_PEvC
ILMN_1766236	0	0.005223	DKFZp761P0423	NA	GSE35574_PEvC
ILMN_1744244	0	0.005223	DPAGT1	1798	GSE35574_PEvC
ILMN_1760778	0	0.005223	ENG	2022	GSE35574_PEvC
ILMN_1727984	0	0.004105	F8A1	8263	GSE35574_PEvC
ILMN_1796458	0	0.00565	GABARAPL2	11345	GSE35574_PEvC
ILMN_1788547	0	0.005314	GCLM	2730	GSE35574_PEvC
ILMN_1656382	0	0.005223	GIYD2	NA	GSE35574_PEvC
ILMN_1656145	0	0.004105	GOT1	2805	GSE35574_PEvC
ILMN_1815527	0	0.002933	HBD	"3045, 100187828"	GSE35574_PEvC
ILMN_1806692	0	0.005223	HEXB	3074	GSE35574_PEvC
ILMN_1686328	0	0.005314	HSP90B1	7184	GSE35574_PEvC
ILMN_1783843	0	0.000104	IIP45	NA	GSE35574_PEvC
ILMN_1747241	0	0.005314	IWS1	55677	GSE35574_PEvC
ILMN_1662932	0	0.005314	LCP1	3936	GSE35574_PEvC
ILMN_1703301	0	0.005223	LOC653479	NA	GSE35574_PEvC
ILMN_1735361	0	0.005879	MAPK11	5600	GSE35574_PEvC
ILMN_1680246	0	0.005223	MAT2B	27430	GSE35574_PEvC
ILMN_1769040	0	0.004105	NCOA2	10499	GSE35574_PEvC
ILMN_1733769	0	0.004105	NPNT	255743	GSE35574_PEvC
ILMN_1708529	0	0.004105	PAPPA2	60676	GSE35574_PEvC
ILMN_1682699	0	0.004105	PBX2	5089	GSE35574_PEvC
ILMN_1661490	0	0.005223	PFDN6	10471	GSE35574_PEvC
ILMN_1685286	0	0.000505	PPP1R12C	54776	GSE35574_PEvC
ILMN_1680652	0	0.005223	SELENBP1	8991	GSE35574_PEvC
ILMN_1669146	0	0.005223	SIAE	54414	GSE35574_PEvC
ILMN_1756501	0	0.003891	ST6GAL1	6480	GSE35574_PEvC
ILMN_1691458	0	0.005314	SYPL1	6856	GSE35574_PEvC
ILMN_1798032	0	0.004105	TRIM24	8805	GSE35574_PEvC
ILMN_1762436	0	0.002117	UBB	7314	GSE35574_PEvC
ILMN_1811480	1.00E-05	0.011836	ADPRHL2	54936	GSE35574_PEvC
ILMN_1659843	1.00E-05	0.010497	DNAJC3	5611	GSE35574_PEvC
ILMN_1660663	1.00E-05	0.011497	DYRK1A	1859	GSE35574_PEvC
ILMN_1795495	1.00E-05	0.007094	ERCC5	2073	GSE35574_PEvC
ILMN_1719951	1.00E-05	0.007094	FLJ31951	NA	GSE35574_PEvC
ILMN_1796523	1.00E-05	0.008249	FNIP1	96459	GSE35574_PEvC
ILMN_1764230	1.00E-05	0.008532	GNPTG	84572	GSE35574_PEvC
ILMN_1671260	1.00E-05	0.010237	GPR177	NA	GSE35574_PEvC
ILMN_1659122	1.00E-05	0.00954	KLF10	7071	GSE35574_PEvC
ILMN_1723211	1.00E-05	0.008532	L2HGDH	79944	GSE35574_PEvC
ILMN_1757278	1.00E-05	0.011497	LOC643300	NA	GSE35574_PEvC
