probe	id	pvalue	symbol	group
ILMN_1651209	ILMN_1651209	0.04833	SLC35E2	GSE25906_PEvC
ILMN_1651354	ILMN_1651354	0.00104	SPP1	GSE25906_PEvC
ILMN_1651406	ILMN_1651406	0.00018	PPP1R14B	GSE25906_PEvC
ILMN_1651433	ILMN_1651433	4e-05	DCK	GSE25906_PEvC
ILMN_1651438	ILMN_1651438	0.02137	ZFPM1	GSE25906_PEvC
ILMN_1651504	ILMN_1651504	0.01304	FAM193A	GSE25906_PEvC
ILMN_1651574	ILMN_1651574	0.00017	AQP3	GSE25906_PEvC
ILMN_1651641	ILMN_1651641	0.04726	NA	GSE25906_PEvC
ILMN_1651684	ILMN_1651684	0.04121	KIAA0586	GSE25906_PEvC
ILMN_1651694	ILMN_1651694	0.02314	CHCHD2	GSE25906_PEvC
ILMN_1651776	ILMN_1651776	0.01945	FHOD1	GSE25906_PEvC
ILMN_1651826	ILMN_1651826	2e-05	BASP1	GSE25906_PEvC
ILMN_1651849	ILMN_1651849	0.00073	SLC1A6	GSE25906_PEvC
ILMN_1651872	ILMN_1651872	0.01838	UBIAD1	GSE25906_PEvC
ILMN_1651936	ILMN_1651936	0.02959	KMT5A	GSE25906_PEvC
ILMN_1651958	ILMN_1651958	0.04595	MGP	GSE25906_PEvC
ILMN_1652008	ILMN_1652008	0.02974	KNSTRN	GSE25906_PEvC
ILMN_1652085	ILMN_1652085	2e-05	MPHOSPH10	GSE25906_PEvC
ILMN_1652088	ILMN_1652088	0.00204	PAPOLB	GSE25906_PEvC
ILMN_1652160	ILMN_1652160	0.02608	LRBA	GSE25906_PEvC
ILMN_1652163	ILMN_1652163	0.03185	DVL2	GSE25906_PEvC
ILMN_1652178	ILMN_1652178	0.04542	NA	GSE25906_PEvC
ILMN_1652188	ILMN_1652188	0.02936	EPG5	GSE25906_PEvC
ILMN_1652223	ILMN_1652223	0.03099	WDR91	GSE25906_PEvC
ILMN_1652413	ILMN_1652413	0.02655	UCN2	GSE25906_PEvC
ILMN_1652431	ILMN_1652431	0.0026	CA1	GSE25906_PEvC
ILMN_1652472	ILMN_1652472	0.01557	BRAF	GSE25906_PEvC
ILMN_1652490	ILMN_1652490	1e-04	MANSC1	GSE25906_PEvC
ILMN_1652512	ILMN_1652512	0.02668	C2CD2	GSE25906_PEvC
ILMN_1652580	ILMN_1652580	0.00622	POLD1	GSE25906_PEvC
ILMN_1652686	ILMN_1652686	0.01318	POP4	GSE25906_PEvC
ILMN_1652700	ILMN_1652700	0.01015	NA	GSE25906_PEvC
ILMN_1652753	ILMN_1652753	0.04997	PAAF1	GSE25906_PEvC
ILMN_1652756	ILMN_1652756	0.02542	NA	GSE25906_PEvC
ILMN_1652777	ILMN_1652777	1e-04	CDC42EP2	GSE25906_PEvC
ILMN_1652928	ILMN_1652928	0.03206	ORAI2	GSE25906_PEvC
ILMN_1652989	ILMN_1652989	0.00687	NUP160	GSE25906_PEvC
ILMN_1653055	ILMN_1653055	0.04636	SOX3	GSE25906_PEvC
ILMN_1653098	ILMN_1653098	0.01937	SLC30A4	GSE25906_PEvC
ILMN_1653103	ILMN_1653103	0.02045	CNBD2	GSE25906_PEvC
ILMN_1653143	ILMN_1653143	8e-05	ECD	GSE25906_PEvC
ILMN_1653165	ILMN_1653165	0.00514	AAMP	GSE25906_PEvC
ILMN_1653292	ILMN_1653292	0.0046	PFKFB4	GSE25906_PEvC
ILMN_1653342	ILMN_1653342	0.01201	DUS1L	GSE25906_PEvC
ILMN_1653358	ILMN_1653358	0.00692	FUT3	GSE25906_PEvC
ILMN_1653420	ILMN_1653420	0.02567	BTBD18	GSE25906_PEvC
ILMN_1653428	ILMN_1653428	0.00194	SPINK9	GSE25906_PEvC
ILMN_1653444	ILMN_1653444	0.00101	RPL22	GSE25906_PEvC
ILMN_1653504	ILMN_1653504	0.01566	S1PR1	GSE25906_PEvC
ILMN_1653514	ILMN_1653514	0.0339	RBBP4	GSE25906_PEvC
ILMN_1653704	ILMN_1653704	0.02789	IL9	GSE25906_PEvC
ILMN_1653718	ILMN_1653718	0.03932	ZFAND2B	GSE25906_PEvC
ILMN_1653774	ILMN_1653774	0.01275	RNF215	GSE25906_PEvC
ILMN_1653814	ILMN_1653814	0.01028	HBBP1	GSE25906_PEvC
ILMN_1653933	ILMN_1653933	6e-05	ABCB6	GSE25906_PEvC
ILMN_1653984	ILMN_1653984	0.03604	MYO7B	GSE25906_PEvC
ILMN_1654064	ILMN_1654064	0.01399	EPB41L5	GSE25906_PEvC
ILMN_1654072	ILMN_1654072	0.01199	CX3CL1	GSE25906_PEvC
ILMN_1654194	ILMN_1654194	0.03411	AAGAB	GSE25906_PEvC
ILMN_1654268	ILMN_1654268	0.00257	HMGB2	GSE25906_PEvC
ILMN_1654324	ILMN_1654324	0.02286	HEYL	GSE25906_PEvC
ILMN_1654396	ILMN_1654396	0.00079	ITGB2	GSE25906_PEvC
ILMN_1654398	ILMN_1654398	0.01503	RGL1	GSE25906_PEvC
ILMN_1654465	ILMN_1654465	3e-04	GPI	GSE25906_PEvC
ILMN_1654466	ILMN_1654466	0.01569	PLAC4	GSE25906_PEvC
ILMN_1654516	ILMN_1654516	0.01758	TMEM120A	GSE25906_PEvC
ILMN_1654518	ILMN_1654518	0.04251	SAP25	GSE25906_PEvC
ILMN_1654552	ILMN_1654552	6e-05	MRPS31	GSE25906_PEvC
ILMN_1654563	ILMN_1654563	0.00015	EFNB1	GSE25906_PEvC
ILMN_1654612	ILMN_1654612	0.00451	ZNF589	GSE25906_PEvC
ILMN_1654628	ILMN_1654628	0.00329	LSM14A	GSE25906_PEvC
ILMN_1654630	ILMN_1654630	0.00326	FAM193B	GSE25906_PEvC
ILMN_1654684	ILMN_1654684	0.01299	ADTRP	GSE25906_PEvC
ILMN_1654737	ILMN_1654737	8e-05	TRIM32	GSE25906_PEvC
ILMN_1654779	ILMN_1654779	0.01804	NA	GSE25906_PEvC
ILMN_1654851	ILMN_1654851	0.03555	RETREG2	GSE25906_PEvC
ILMN_1654858	ILMN_1654858	0.0326	NA	GSE25906_PEvC
ILMN_1654864	ILMN_1654864	0.01056	BROX	GSE25906_PEvC
ILMN_1654875	ILMN_1654875	0.00496	CLC	GSE25906_PEvC
ILMN_1654890	ILMN_1654890	0.03958	LENG8	GSE25906_PEvC
ILMN_1654916	ILMN_1654916	0.04416	KIF7	GSE25906_PEvC
ILMN_1655011	ILMN_1655011	0.00598	NA	GSE25906_PEvC
ILMN_1655046	ILMN_1655046	0.00325	NUTF2	GSE25906_PEvC
ILMN_1655117	ILMN_1655117	0.01974	WDR19	GSE25906_PEvC
ILMN_1655316	ILMN_1655316	0.04023	PSMC6	GSE25906_PEvC
ILMN_1655340	ILMN_1655340	0.03255	RNF181	GSE25906_PEvC
ILMN_1655462	ILMN_1655462	0.04893	NA	GSE25906_PEvC
ILMN_1655498	ILMN_1655498	0.00657	FAM57B	GSE25906_PEvC
ILMN_1655536	ILMN_1655536	0.01435	ENY2	GSE25906_PEvC
ILMN_1655563	ILMN_1655563	0.03742	CTIF	GSE25906_PEvC
ILMN_1655622	ILMN_1655622	0.01504	THAP12	GSE25906_PEvC
ILMN_1655675	ILMN_1655675	0.01403	MICA	GSE25906_PEvC
ILMN_1655702	ILMN_1655702	0.00468	ABHD5	GSE25906_PEvC
ILMN_1655740	ILMN_1655740	0	SNAI2	GSE25906_PEvC
ILMN_1655930	ILMN_1655930	0.0049	ELL2	GSE25906_PEvC
ILMN_1655961	ILMN_1655961	0.04174	SND1-IT1	GSE25906_PEvC
ILMN_1656040	ILMN_1656040	0.0387	NTN3	GSE25906_PEvC
ILMN_1656045	ILMN_1656045	0.01368	CELF6	GSE25906_PEvC
ILMN_1656057	ILMN_1656057	0.01719	PLAU	GSE25906_PEvC
ILMN_1656145	ILMN_1656145	5e-05	GOT1	GSE25906_PEvC
ILMN_1656361	ILMN_1656361	0.00709	ARHGAP27	GSE25906_PEvC
ILMN_1656382	ILMN_1656382	0	NA	GSE25906_PEvC
ILMN_1656420	ILMN_1656420	0.00038	CLUHP3	GSE25906_PEvC
ILMN_1656452	ILMN_1656452	0.00924	C16orf59	GSE25906_PEvC
ILMN_1656501	ILMN_1656501	0.00019	DUSP5	GSE25906_PEvC
ILMN_1656656	ILMN_1656656	0.00554	COX19	GSE25906_PEvC
ILMN_1656791	ILMN_1656791	0.04067	RPS6	GSE25906_PEvC
ILMN_1656899	ILMN_1656899	0.00109	CIB1	GSE25906_PEvC
ILMN_1656940	ILMN_1656940	0.00341	ABLIM3	GSE25906_PEvC
ILMN_1656976	ILMN_1656976	0.00162	ZNF461	GSE25906_PEvC
ILMN_1656992	ILMN_1656992	0.01101	NLRP10	GSE25906_PEvC
ILMN_1657064	ILMN_1657064	0.00158	ERMARD	GSE25906_PEvC
ILMN_1657095	ILMN_1657095	0.04312	STARD3	GSE25906_PEvC
ILMN_1657163	ILMN_1657163	0.03174	NA	GSE25906_PEvC
ILMN_1657219	ILMN_1657219	0.0276	NA	GSE25906_PEvC
ILMN_1657395	ILMN_1657395	0.01541	HMGCR	GSE25906_PEvC
ILMN_1657409	ILMN_1657409	0.00012	NA	GSE25906_PEvC
ILMN_1657478	ILMN_1657478	0.0269	MAGEL2	GSE25906_PEvC
ILMN_1657519	ILMN_1657519	0.00079	STK35	GSE25906_PEvC
ILMN_1657591	ILMN_1657591	0.02123	SCN3A	GSE25906_PEvC
ILMN_1657603	ILMN_1657603	0.00069	NA	GSE25906_PEvC
ILMN_1657632	ILMN_1657632	0.0127	TMEM35B	GSE25906_PEvC
ILMN_1657754	ILMN_1657754	0.02821	RPAP2	GSE25906_PEvC
ILMN_1657810	ILMN_1657810	0.00076	PPM1M	GSE25906_PEvC
ILMN_1657835	ILMN_1657835	0.00226	CLASRP	GSE25906_PEvC
ILMN_1657873	ILMN_1657873	0.03251	XPO4	GSE25906_PEvC
ILMN_1657888	ILMN_1657888	0.01012	SALL1	GSE25906_PEvC
ILMN_1657914	ILMN_1657914	0.00078	NFE4	GSE25906_PEvC
ILMN_1657950	ILMN_1657950	0.04585	RPS26	GSE25906_PEvC
ILMN_1658027	ILMN_1658027	0.01195	RAD54L	GSE25906_PEvC
ILMN_1658040	ILMN_1658040	0.01584	CRABP1	GSE25906_PEvC
ILMN_1658044	ILMN_1658044	0.00042	EDNRB	GSE25906_PEvC
ILMN_1658065	ILMN_1658065	0.01862	EBP	GSE25906_PEvC
ILMN_1658072	ILMN_1658072	0.00957	IGBP1	GSE25906_PEvC
ILMN_1658080	ILMN_1658080	0.00013	ZNF573	GSE25906_PEvC
ILMN_1658144	ILMN_1658144	0.00035	TRIP11	GSE25906_PEvC
ILMN_1658160	ILMN_1658160	0.00237	NA	GSE25906_PEvC
ILMN_1658196	ILMN_1658196	0.01086	ZXDB	GSE25906_PEvC
ILMN_1658301	ILMN_1658301	0.02208	FAM83E	GSE25906_PEvC
ILMN_1658312	ILMN_1658312	0.00154	CD37	GSE25906_PEvC
ILMN_1658373	ILMN_1658373	0.0391	PAN2	GSE25906_PEvC
ILMN_1658386	ILMN_1658386	0.03057	DAOA	GSE25906_PEvC
ILMN_1658439	ILMN_1658439	0.00524	TRAPPC13	GSE25906_PEvC
ILMN_1658472	ILMN_1658472	0.01718	APH1A	GSE25906_PEvC
ILMN_1658605	ILMN_1658605	0.00565	NA	GSE25906_PEvC
ILMN_1658634	ILMN_1658634	0.0186	NA	GSE25906_PEvC
ILMN_1658679	ILMN_1658679	0.0076	YJEFN3	GSE25906_PEvC
ILMN_1658821	ILMN_1658821	0.01502	SAMD1	GSE25906_PEvC
ILMN_1658834	ILMN_1658834	0.00141	ZC3H18	GSE25906_PEvC
ILMN_1658867	ILMN_1658867	0.01753	EPO	GSE25906_PEvC
ILMN_1658972	ILMN_1658972	0.0311	NA	GSE25906_PEvC
ILMN_1658995	ILMN_1658995	0.02906	ACOT9	GSE25906_PEvC
ILMN_1659017	ILMN_1659017	0.01079	C11orf74	GSE25906_PEvC
