probe	id	pvalue	symbol	group
5	A_33_P3246448	0.01371	KCNE4	GSE74341_PEvC
7	A_33_P3236322	0.03995	LOC100129869	GSE74341_PEvC
11	A_24_P215804	0.01781	CKLF	GSE74341_PEvC
13	A_33_P3211513	0.00884	CLK1	GSE74341_PEvC
20	A_33_P3263061	0.00091	AK3	GSE74341_PEvC
22	A_24_P278460	0.00393	FAR1	GSE74341_PEvC
25	A_24_P286898	0.02927	MAPK8	GSE74341_PEvC
26	A_23_P340890	0.00024	THAP3	GSE74341_PEvC
28	A_21_P0010885	0.00066	TMEM14B	GSE74341_PEvC
30	A_23_P89762	0.00168	PHLPP1	GSE74341_PEvC
31	A_33_P3379396	0.03634	KRT1	GSE74341_PEvC
36	A_33_P3732466	0.03643	DKFZp547G183	GSE74341_PEvC
37	A_33_P3402773	0.00295		GSE74341_PEvC
47	A_33_P3219429	0.00258	SMNDC1	GSE74341_PEvC
48	A_21_P0014120	0.028	LOC100507291	GSE74341_PEvC
53	A_23_P118888	0.01208	PAFAH1B1	GSE74341_PEvC
61	A_21_P0014626	0.00028	RNF13	GSE74341_PEvC
62	A_23_P203658	0.01051	PICALM	GSE74341_PEvC
63	A_33_P3354678	0.00244	TRIM78P	GSE74341_PEvC
68	A_33_P3323435	0.00174	MAP3K9	GSE74341_PEvC
73	A_33_P3241482	0.01707	ZNF346	GSE74341_PEvC
78	A_23_P111865	0.00249	ZSCAN21	GSE74341_PEvC
80	A_23_P144096	0.02148	CISH	GSE74341_PEvC
81	A_33_P3299510	0.03918	SCXA	GSE74341_PEvC
83	A_23_P63896	0.00701	FAS	GSE74341_PEvC
85	A_24_P355944	0.01687	EFNB2	GSE74341_PEvC
87	A_32_P199252	0.01171	HSP90AA1	GSE74341_PEvC
89	A_23_P203191	0.04256	APOA1	GSE74341_PEvC
90	A_19_P00811812	0.00459	MPRIP	GSE74341_PEvC
97	A_33_P3245927	0.00777	OGFOD2	GSE74341_PEvC
100	A_33_P3379526	0.00474		GSE74341_PEvC
107	A_33_P3278313	0.03142	MSRB3	GSE74341_PEvC
112	A_21_P0000576	0.03652	LOC100294362	GSE74341_PEvC
114	A_21_P0014082	0.02329	LOC100507013	GSE74341_PEvC
116	A_33_P3858476	0.0459	FLJ30838	GSE74341_PEvC
122	A_24_P303420	0.03682	LOC221442	GSE74341_PEvC
125	A_19_P00322002	0.04985	FLJ43663	GSE74341_PEvC
126	A_19_P00320028	8e-05	LOC100216546	GSE74341_PEvC
132	A_33_P3404480	0.02763	MPP4	GSE74341_PEvC
135	A_23_P110288	0.03593	GSTCD	GSE74341_PEvC
137	A_21_P0001847	0.00063	XLOC_001398	GSE74341_PEvC
150	A_23_P258340	0.0027	PPIA	GSE74341_PEvC
151	A_21_P0014949	0.00862	NPEPPS	GSE74341_PEvC
153	A_33_P3312601	0.02647	AADACL4	GSE74341_PEvC
155	A_23_P434518	0.03793	LFNG	GSE74341_PEvC
160	A_23_P119907	4e-05	ANKZF1	GSE74341_PEvC
167	A_33_P3284404	0.01356	SYNGR1	GSE74341_PEvC
177	A_19_P00318261	5e-05	SNORA26	GSE74341_PEvC
181	A_23_P104025	0.00374	TSEN15	GSE74341_PEvC
184	A_33_P3215028	0.00945	C6orf89	GSE74341_PEvC
185	A_33_P3228722	0.00881	TBCD	GSE74341_PEvC
193	A_19_P00806765	0.04993	FONG	GSE74341_PEvC
201	A_21_P0002212	0.00282	LOC100506235	GSE74341_PEvC
202	A_23_P214678	0.00028	CUTA	GSE74341_PEvC
213	A_24_P149395	0.00011	WIPI2	GSE74341_PEvC
219	A_23_P82762	0.00351	ZNF596	GSE74341_PEvC
223	A_33_P3317282	7e-05	NUS1	GSE74341_PEvC
227	A_33_P3384108	0.04158	SLC19A1	GSE74341_PEvC
230	A_23_P36531	0.00047	TSPAN8	GSE74341_PEvC
236	A_33_P3273459	0	SPATA21	GSE74341_PEvC
240	A_23_P103110	0.01402	MAFF	GSE74341_PEvC
241	A_23_P344853	0.00954	WDR43	GSE74341_PEvC
250	A_23_P319783	0.03251	SPAG17	GSE74341_PEvC
251	A_23_P103442	0.02737	MEAF6	GSE74341_PEvC
255	A_21_P0008647	0.00268	LOC145837	GSE74341_PEvC
257	A_23_P106675	0.03812	PLCG2	GSE74341_PEvC
258	A_33_P3259954	0.03816		GSE74341_PEvC
259	A_19_P00321284	0.0332	LOC100287765	GSE74341_PEvC
262	A_32_P231086	0.00046	GOLGA6L9	GSE74341_PEvC
283	A_33_P3291776	0.00592	NANS	GSE74341_PEvC
287	A_33_P3240234	0.00433		GSE74341_PEvC
288	A_23_P362228	0.00234	C1orf213	GSE74341_PEvC
289	A_23_P108376	0.02971	THADA	GSE74341_PEvC
290	A_24_P782308	2e-04	NEDD4L	GSE74341_PEvC
294	A_23_P59388	2e-05	DST	GSE74341_PEvC
302	A_33_P3658861	7e-05	SNORA26	GSE74341_PEvC
303	A_23_P41948	0.00061	CCDC99	GSE74341_PEvC
305	A_23_P10785	0.00534	VTI1A	GSE74341_PEvC
321	A_23_P374322	0.00893	LACC1	GSE74341_PEvC
331	A_33_P3330911	0.00667	BCAS1	GSE74341_PEvC
332	A_24_P493287	0.00629		GSE74341_PEvC
