probe	id	pvalue	symbol	group
ILMN_1651209	ILMN_1651209	0.02743	SLC35E2	GSE35574_PEvC
ILMN_1651229	ILMN_1651229	0.03576	IPO13	GSE35574_PEvC
ILMN_1651232	ILMN_1651232	0.00895	FAM86FP	GSE35574_PEvC
ILMN_1651238	ILMN_1651238	0.00861	TRPV1	GSE35574_PEvC
ILMN_1651259	ILMN_1651259	0.01892	UGP2	GSE35574_PEvC
ILMN_1651261	ILMN_1651261	0.00654	RSU1	GSE35574_PEvC
ILMN_1651298	ILMN_1651298	0.00064	RAD17	GSE35574_PEvC
ILMN_1651329	ILMN_1651329	0.02453	NA	GSE35574_PEvC
ILMN_1651339	ILMN_1651339	0.03246	UHRF1BP1L	GSE35574_PEvC
ILMN_1651349	ILMN_1651349	0.03994	CD86	GSE35574_PEvC
ILMN_1651354	ILMN_1651354	0.01571	SPP1	GSE35574_PEvC
ILMN_1651406	ILMN_1651406	0.00043	PPP1R14B	GSE35574_PEvC
ILMN_1651415	ILMN_1651415	0.00274	DERL3	GSE35574_PEvC
ILMN_1651433	ILMN_1651433	0.00882	DCK	GSE35574_PEvC
ILMN_1651438	ILMN_1651438	0.00346	ZFPM1	GSE35574_PEvC
ILMN_1651478	ILMN_1651478	0.00065	MEST	GSE35574_PEvC
ILMN_1651498	ILMN_1651498	0.012	GADD45G	GSE35574_PEvC
ILMN_1651574	ILMN_1651574	0.01008	AQP3	GSE35574_PEvC
ILMN_1651597	ILMN_1651597	0.03001	FBXO44	GSE35574_PEvC
ILMN_1651610	ILMN_1651610	0.01253	SPRY1	GSE35574_PEvC
ILMN_1651641	ILMN_1651641	0.00829	NA	GSE35574_PEvC
ILMN_1651642	ILMN_1651642	0.04885	GPC2	GSE35574_PEvC
ILMN_1651680	ILMN_1651680	0.00367	EEF1A1	GSE35574_PEvC
ILMN_1651826	ILMN_1651826	0.00021	BASP1	GSE35574_PEvC
ILMN_1651872	ILMN_1651872	0.00056	UBIAD1	GSE35574_PEvC
ILMN_1651902	ILMN_1651902	0.02064	RASL11A	GSE35574_PEvC
ILMN_1651936	ILMN_1651936	0.00011	KMT5A	GSE35574_PEvC
ILMN_1651938	ILMN_1651938	0.02138	NA	GSE35574_PEvC
ILMN_1651958	ILMN_1651958	0.00908	MGP	GSE35574_PEvC
ILMN_1652017	ILMN_1652017	0.01739	PPEF1	GSE35574_PEvC
ILMN_1652072	ILMN_1652072	0.0076	NIM1K	GSE35574_PEvC
ILMN_1652088	ILMN_1652088	0.00502	PAPOLB	GSE35574_PEvC
ILMN_1652147	ILMN_1652147	0.02805	MRPL43	GSE35574_PEvC
ILMN_1652163	ILMN_1652163	0.03232	DVL2	GSE35574_PEvC
ILMN_1652178	ILMN_1652178	0.02768	NA	GSE35574_PEvC
ILMN_1652277	ILMN_1652277	0.04064	SECTM1	GSE35574_PEvC
ILMN_1652280	ILMN_1652280	0.01533	FBXO32	GSE35574_PEvC
ILMN_1652423	ILMN_1652423	0.02328	RREB1	GSE35574_PEvC
ILMN_1652431	ILMN_1652431	0.00014	CA1	GSE35574_PEvC
ILMN_1652445	ILMN_1652445	0.01365	RAC1	GSE35574_PEvC
ILMN_1652456	ILMN_1652456	0.00063	TMEM98	GSE35574_PEvC
ILMN_1652472	ILMN_1652472	0.01678	BRAF	GSE35574_PEvC
ILMN_1652490	ILMN_1652490	0.00144	MANSC1	GSE35574_PEvC
ILMN_1652512	ILMN_1652512	0.01449	C2CD2	GSE35574_PEvC
ILMN_1652578	ILMN_1652578	0.04803	TSHB	GSE35574_PEvC
ILMN_1652580	ILMN_1652580	0.0128	POLD1	GSE35574_PEvC
ILMN_1652591	ILMN_1652591	0.03246	RNF151	GSE35574_PEvC
ILMN_1652660	ILMN_1652660	0.032	NA	GSE35574_PEvC
ILMN_1652693	ILMN_1652693	0.02683	SHH	GSE35574_PEvC
ILMN_1652701	ILMN_1652701	0.04761	NA	GSE35574_PEvC
ILMN_1652736	ILMN_1652736	0.02887	RPS6KA3	GSE35574_PEvC
ILMN_1652748	ILMN_1652748	0.03642	RPL18A	GSE35574_PEvC
ILMN_1652753	ILMN_1652753	0.01549	PAAF1	GSE35574_PEvC
ILMN_1652777	ILMN_1652777	0.00249	CDC42EP2	GSE35574_PEvC
ILMN_1652938	ILMN_1652938	0.03533	PRRG3	GSE35574_PEvC
ILMN_1652975	ILMN_1652975	0.01603	DLK1	GSE35574_PEvC
ILMN_1653055	ILMN_1653055	0.04318	SOX3	GSE35574_PEvC
ILMN_1653098	ILMN_1653098	0.01094	SLC30A4	GSE35574_PEvC
