probe	id	pvalue	symbol	group
1007_s_at	1007_s_at	1e-04	DDR1	GSE14722_PEvC
1320_at	1320_at	0.02461	PTPN21	GSE14722_PEvC
200618_at	200618_at	0.03889	LASP1	GSE14722_PEvC
200632_s_at	200632_s_at	0.00193	NDRG1	GSE14722_PEvC
200642_at	200642_at	0.00222	SOD1	GSE14722_PEvC
200653_s_at	200653_s_at	0.00073	CALM1	GSE14722_PEvC
200655_s_at	200655_s_at	0.01357	CALM1	GSE14722_PEvC
200678_x_at	200678_x_at	0.00404	GRN	GSE14722_PEvC
200732_s_at	200732_s_at	0.04102	PTP4A1	GSE14722_PEvC
200742_s_at	200742_s_at	0.00795	TPP1	GSE14722_PEvC
200743_s_at	200743_s_at	0.00256	TPP1	GSE14722_PEvC
200767_s_at	200767_s_at	0.00435	FAM120A	GSE14722_PEvC
200770_s_at	200770_s_at	0.00539	LAMC1	GSE14722_PEvC
200771_at	200771_at	0.04946	LAMC1	GSE14722_PEvC
200783_s_at	200783_s_at	0.00821	STMN1	GSE14722_PEvC
200827_at	200827_at	0.00165	PLOD1	GSE14722_PEvC
200889_s_at	200889_s_at	0.04719	SSR1	GSE14722_PEvC
200897_s_at	200897_s_at	0.02604	PALLD	GSE14722_PEvC
200907_s_at	200907_s_at	0.0498	PALLD	GSE14722_PEvC
200953_s_at	200953_s_at	0.01828	CCND2	GSE14722_PEvC
200998_s_at	200998_s_at	0.00797	CKAP4	GSE14722_PEvC
201015_s_at	201015_s_at	0.00586	JUP	GSE14722_PEvC
201017_at	201017_at	0.03546	EIF1AX	GSE14722_PEvC
201030_x_at	201030_x_at	0.00932	LDHB	GSE14722_PEvC
201041_s_at	201041_s_at	0.00047	DUSP1	GSE14722_PEvC
201044_x_at	201044_x_at	0.00083	DUSP1	GSE14722_PEvC
201118_at	201118_at	0.01942	PGD	GSE14722_PEvC
201125_s_at	201125_s_at	0.03603	ITGB5	GSE14722_PEvC
201131_s_at	201131_s_at	0.01354	CDH1	GSE14722_PEvC
